,icd9cm,icd10,description,flags,approximate,no_map,combination,scenario,choice_list
64110,E9340,T454X5S,"Adverse effect of iron and its compounds, sequela",10112,1,0,1,1,2
64111,NoDx,T454X6A,"Underdosing of iron and its compounds, initial encounter",11000,1,1,0,0,0
64112,NoDx,T454X6D,"Underdosing of iron and its compounds, subsequent encounter",11000,1,1,0,0,0
64113,NoDx,T454X6S,"Underdosing of iron and its compounds, sequela",11000,1,1,0,0,0
64114,9642,T45511A,"Poisoning by anticoagulants, accidental (unintentional), initial encounter",10111,1,0,1,1,1
64115,E8582,T45511A,"Poisoning by anticoagulants, accidental (unintentional), initial encounter",10112,1,0,1,1,2
64116,V5889,T45511D,"Poisoning by anticoagulants, accidental (unintentional), subsequent encounter",10000,1,0,0,0,0
64117,9090,T45511S,"Poisoning by anticoagulants, accidental (unintentional), sequela",10111,1,0,1,1,1
64118,E9292,T45511S,"Poisoning by anticoagulants, accidental (unintentional), sequela",10112,1,0,1,1,2
64119,9642,T45512A,"Poisoning by anticoagulants, intentional self-harm, initial encounter",10111,1,0,1,1,1
64120,E9504,T45512A,"Poisoning by anticoagulants, intentional self-harm, initial encounter",10112,1,0,1,1,2
64121,V5889,T45512D,"Poisoning by anticoagulants, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64122,9090,T45512S,"Poisoning by anticoagulants, intentional self-harm, sequela",10111,1,0,1,1,1
64123,E959,T45512S,"Poisoning by anticoagulants, intentional self-harm, sequela",10112,1,0,1,1,2
64124,9642,T45513A,"Poisoning by anticoagulants, assault, initial encounter",10111,1,0,1,1,1
64125,E9620,T45513A,"Poisoning by anticoagulants, assault, initial encounter",10112,1,0,1,1,2
64126,V5889,T45513D,"Poisoning by anticoagulants, assault, subsequent encounter",10000,1,0,0,0,0
64127,9090,T45513S,"Poisoning by anticoagulants, assault, sequela",10111,1,0,1,1,1
64128,E969,T45513S,"Poisoning by anticoagulants, assault, sequela",10112,1,0,1,1,2
64129,9642,T45514A,"Poisoning by anticoagulants, undetermined, initial encounter",10111,1,0,1,1,1
64130,E9804,T45514A,"Poisoning by anticoagulants, undetermined, initial encounter",10112,1,0,1,1,2
64131,V5889,T45514D,"Poisoning by anticoagulants, undetermined, subsequent encounter",10000,1,0,0,0,0
64132,9090,T45514S,"Poisoning by anticoagulants, undetermined, sequela",10111,1,0,1,1,1
64133,E989,T45514S,"Poisoning by anticoagulants, undetermined, sequela",10112,1,0,1,1,2
64134,99529,T45515A,"Adverse effect of anticoagulants, initial encounter",10111,1,0,1,1,1
64135,E9342,T45515A,"Adverse effect of anticoagulants, initial encounter",10112,1,0,1,1,2
64136,V5889,T45515D,"Adverse effect of anticoagulants, subsequent encounter",10000,1,0,0,0,0
64137,9095,T45515S,"Adverse effect of anticoagulants, sequela",10111,1,0,1,1,1
64138,E9342,T45515S,"Adverse effect of anticoagulants, sequela",10112,1,0,1,1,2
64139,NoDx,T45516A,"Underdosing of anticoagulants, initial encounter",11000,1,1,0,0,0
64140,NoDx,T45516D,"Underdosing of anticoagulants, subsequent encounter",11000,1,1,0,0,0
64141,NoDx,T45516S,"Underdosing of anticoagulants, sequela",11000,1,1,0,0,0
64142,9642,T45521A,"Poisoning by antithrombotic drugs, accidental (unintentional), initial encounter",10111,1,0,1,1,1
64143,E8582,T45521A,"Poisoning by antithrombotic drugs, accidental (unintentional), initial encounter",10112,1,0,1,1,2
64144,V5889,T45521D,"Poisoning by antithrombotic drugs, accidental (unintentional), subsequent encounter",10000,1,0,0,0,0
64145,9090,T45521S,"Poisoning by antithrombotic drugs, accidental (unintentional), sequela",10111,1,0,1,1,1
64146,E9292,T45521S,"Poisoning by antithrombotic drugs, accidental (unintentional), sequela",10112,1,0,1,1,2
64147,9642,T45522A,"Poisoning by antithrombotic drugs, intentional self-harm, initial encounter",10111,1,0,1,1,1
64148,E9504,T45522A,"Poisoning by antithrombotic drugs, intentional self-harm, initial encounter",10112,1,0,1,1,2
64149,V5889,T45522D,"Poisoning by antithrombotic drugs, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64150,9090,T45522S,"Poisoning by antithrombotic drugs, intentional self-harm, sequela",10111,1,0,1,1,1
64151,E959,T45522S,"Poisoning by antithrombotic drugs, intentional self-harm, sequela",10112,1,0,1,1,2
64152,9642,T45523A,"Poisoning by antithrombotic drugs, assault, initial encounter",10111,1,0,1,1,1
64153,E9620,T45523A,"Poisoning by antithrombotic drugs, assault, initial encounter",10112,1,0,1,1,2
64154,V5889,T45523D,"Poisoning by antithrombotic drugs, assault, subsequent encounter",10000,1,0,0,0,0
64155,9090,T45523S,"Poisoning by antithrombotic drugs, assault, sequela",10111,1,0,1,1,1
64156,E969,T45523S,"Poisoning by antithrombotic drugs, assault, sequela",10112,1,0,1,1,2
64157,9642,T45524A,"Poisoning by antithrombotic drugs, undetermined, initial encounter",10111,1,0,1,1,1
64158,E9804,T45524A,"Poisoning by antithrombotic drugs, undetermined, initial encounter",10112,1,0,1,1,2
64159,V5889,T45524D,"Poisoning by antithrombotic drugs, undetermined, subsequent encounter",10000,1,0,0,0,0
64160,9090,T45524S,"Poisoning by antithrombotic drugs, undetermined, sequela",10111,1,0,1,1,1
64161,E989,T45524S,"Poisoning by antithrombotic drugs, undetermined, sequela",10112,1,0,1,1,2
64162,99529,T45525A,"Adverse effect of antithrombotic drugs, initial encounter",10111,1,0,1,1,1
64163,E9342,T45525A,"Adverse effect of antithrombotic drugs, initial encounter",10112,1,0,1,1,2
64164,V5889,T45525D,"Adverse effect of antithrombotic drugs, subsequent encounter",10000,1,0,0,0,0
64165,9095,T45525S,"Adverse effect of antithrombotic drugs, sequela",10111,1,0,1,1,1
64166,E9342,T45525S,"Adverse effect of antithrombotic drugs, sequela",10112,1,0,1,1,2
64167,NoDx,T45526A,"Underdosing of antithrombotic drugs, initial encounter",11000,1,1,0,0,0
64168,NoDx,T45526D,"Underdosing of antithrombotic drugs, subsequent encounter",11000,1,1,0,0,0
64169,NoDx,T45526S,"Underdosing of antithrombotic drugs, sequela",11000,1,1,0,0,0
64170,9644,T45601A,"Poisoning by unspecified fibrinolysis-affecting drugs, accidental (unintentional), initial encounter",10111,1,0,1,1,1
64171,E8582,T45601A,"Poisoning by unspecified fibrinolysis-affecting drugs, accidental (unintentional), initial encounter",10112,1,0,1,1,2
64172,V5889,T45601D,"Poisoning by unspecified fibrinolysis-affecting drugs, accidental (unintentional), subsequent encounter",10000,1,0,0,0,0
64173,9090,T45601S,"Poisoning by unspecified fibrinolysis-affecting drugs, accidental (unintentional), sequela",10111,1,0,1,1,1
64174,E9292,T45601S,"Poisoning by unspecified fibrinolysis-affecting drugs, accidental (unintentional), sequela",10112,1,0,1,1,2
64175,9644,T45602A,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter",10111,1,0,1,1,1
64176,E9504,T45602A,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter",10112,1,0,1,1,2
64177,V5889,T45602D,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64178,9090,T45602S,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, sequela",10111,1,0,1,1,1
64179,E959,T45602S,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, sequela",10112,1,0,1,1,2
64180,9644,T45603A,"Poisoning by unspecified fibrinolysis-affecting drugs, assault, initial encounter",10111,1,0,1,1,1
64181,E9620,T45603A,"Poisoning by unspecified fibrinolysis-affecting drugs, assault, initial encounter",10112,1,0,1,1,2
64182,V5889,T45603D,"Poisoning by unspecified fibrinolysis-affecting drugs, assault, subsequent encounter",10000,1,0,0,0,0
64183,9090,T45603S,"Poisoning by unspecified fibrinolysis-affecting drugs, assault, sequela",10111,1,0,1,1,1
64184,E969,T45603S,"Poisoning by unspecified fibrinolysis-affecting drugs, assault, sequela",10112,1,0,1,1,2
64185,9644,T45604A,"Poisoning by unspecified fibrinolysis-affecting drugs, undetermined, initial encounter",10111,1,0,1,1,1
64186,E9804,T45604A,"Poisoning by unspecified fibrinolysis-affecting drugs, undetermined, initial encounter",10112,1,0,1,1,2
64187,V5889,T45604D,"Poisoning by unspecified fibrinolysis-affecting drugs, undetermined, subsequent encounter",10000,1,0,0,0,0
64188,9090,T45604S,"Poisoning by unspecified fibrinolysis-affecting drugs, undetermined, sequela",10111,1,0,1,1,1
64189,E989,T45604S,"Poisoning by unspecified fibrinolysis-affecting drugs, undetermined, sequela",10112,1,0,1,1,2
64190,99529,T45605A,"Adverse effect of unspecified fibrinolysis-affecting drugs, initial encounter",10111,1,0,1,1,1
64191,E9344,T45605A,"Adverse effect of unspecified fibrinolysis-affecting drugs, initial encounter",10112,1,0,1,1,2
64192,V5889,T45605D,"Adverse effect of unspecified fibrinolysis-affecting drugs, subsequent encounter",10000,1,0,0,0,0
64193,9095,T45605S,"Adverse effect of unspecified fibrinolysis-affecting drugs, sequela",10111,1,0,1,1,1
64194,E9344,T45605S,"Adverse effect of unspecified fibrinolysis-affecting drugs, sequela",10112,1,0,1,1,2
64195,NoDx,T45606A,"Underdosing of unspecified fibrinolysis-affecting drugs, initial encounter",11000,1,1,0,0,0
64196,NoDx,T45606D,"Underdosing of unspecified fibrinolysis-affecting drugs, subsequent encounter",11000,1,1,0,0,0
64197,NoDx,T45606S,"Underdosing of unspecified fibrinolysis-affecting drugs, sequela",11000,1,1,0,0,0
64198,9644,T45611A,"Poisoning by thrombolytic drug, accidental (unintentional), initial encounter",10111,1,0,1,1,1
64199,E8582,T45611A,"Poisoning by thrombolytic drug, accidental (unintentional), initial encounter",10112,1,0,1,1,2
64200,V5889,T45611D,"Poisoning by thrombolytic drug, accidental (unintentional), subsequent encounter",10000,1,0,0,0,0
64201,9090,T45611S,"Poisoning by thrombolytic drug, accidental (unintentional), sequela",10111,1,0,1,1,1
64202,E9292,T45611S,"Poisoning by thrombolytic drug, accidental (unintentional), sequela",10112,1,0,1,1,2
64203,9644,T45612A,"Poisoning by thrombolytic drug, intentional self-harm, initial encounter",10111,1,0,1,1,1
64204,E9504,T45612A,"Poisoning by thrombolytic drug, intentional self-harm, initial encounter",10112,1,0,1,1,2
