DETAIL_LAB_PROCEDURE_ID,ntk_score_lab,n_patients_with_abnormal,abnormal_rate_patients_pos,abnormal_rate_patients_neg
2307,3.814255908600257e-06,54,5.6589893045102146e-05,7.009661316053898e-06
5744,3.814255908600257e-06,54,0.0,7.724932878916542e-06
1735,3.814255908600257e-06,54,0.0,7.724932878916542e-06
429,3.814255908600257e-06,54,1.1317978609020428e-05,7.581878566344013e-06
1644,3.814255908600257e-06,54,0.0,7.724932878916542e-06
7059,3.7436215399224747e-06,53,1.1317978609020428e-05,7.438824253771484e-06
6270,3.7436215399224747e-06,53,1.1317978609020428e-05,7.438824253771484e-06
2035,3.7436215399224747e-06,53,2.2635957218040857e-05,7.295769941198955e-06
2595,3.672987171244692e-06,52,0.0,7.438824253771484e-06
291,3.672987171244692e-06,52,0.0,7.438824253771484e-06
5274,3.672987171244692e-06,52,0.0,7.438824253771484e-06
1043,3.672987171244692e-06,52,0.0,7.438824253771484e-06
5078,3.672987171244692e-06,52,0.0,7.438824253771484e-06
16575,3.672987171244692e-06,52,4.5271914436081714e-05,6.866607003481369e-06
3140,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
290,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
7906,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
2408,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
2569,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
1761,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
2012,3.6023528025669095e-06,51,1.1317978609020428e-05,7.152715628626427e-06
634,3.6023528025669095e-06,51,0.0,7.295769941198955e-06
1107,3.6023528025669095e-06,51,1.1317978609020428e-05,7.152715628626427e-06
6763,3.531718433889127e-06,50,0.0,7.152715628626427e-06
2103,3.531718433889127e-06,50,0.0,7.152715628626427e-06
276,3.531718433889127e-06,50,0.0,7.152715628626427e-06
8758,3.531718433889127e-06,50,0.0,7.152715628626427e-06
6478,3.531718433889127e-06,50,2.2635957218040857e-05,6.866607003481369e-06
7121,3.531718433889127e-06,50,1.1317978609020428e-05,7.009661316053898e-06
3881,3.531718433889127e-06,50,1.1317978609020428e-05,7.009661316053898e-06
6318,3.531718433889127e-06,50,0.0,7.152715628626427e-06
7684,3.531718433889127e-06,50,3.395393582706129e-05,6.723552690908841e-06
7812,3.531718433889127e-06,50,1.1317978609020428e-05,7.009661316053898e-06
5848,3.4610840652113444e-06,49,0.0,7.009661316053898e-06
11991,3.4610840652113444e-06,49,1.1317978609020428e-05,6.866607003481369e-06
4165,3.4610840652113444e-06,49,1.1317978609020428e-05,6.866607003481369e-06
7388,3.4610840652113444e-06,49,0.0,7.009661316053898e-06
337,3.4610840652113444e-06,49,0.0,7.009661316053898e-06
1201,3.4610840652113444e-06,49,0.0,7.009661316053898e-06
558,3.3904496965335618e-06,48,0.0,6.866607003481369e-06
2351,3.3904496965335618e-06,48,1.1317978609020428e-05,6.723552690908841e-06
1029,3.3904496965335618e-06,48,0.0,6.866607003481369e-06
6221,3.3904496965335618e-06,48,0.0,6.866607003481369e-06
4867,3.3904496965335618e-06,48,0.0,6.866607003481369e-06
2684,3.3904496965335618e-06,48,2.2635957218040857e-05,6.5804983783363125e-06
3199,3.3904496965335618e-06,48,1.1317978609020428e-05,6.723552690908841e-06
