DETAIL_LAB_PROCEDURE_ID,n_valid_patients,abnormal_rate_patients,abnormal_rate_patients_pos,abnormal_rate_patients_neg,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,n_patients_with_lab,n_encounters_with_lab,LAB_PROCEDURE_NAME,LAB_PROCEDURE_GROUP,LAB_SUPER_GROUP,LOINC_CODE
9595,125.0,0.576,1.0,0.5691056910569106,0.4308943089430894,1.7571428571428571,2.083926350149824,140.0,207.0,Cyclosporine ng/mL Serum,Medication Test,General Test,3521-2
1858,4986.0,0.6588447653429603,0.9,0.6559074299634592,0.2440925700365408,1.3721448467966575,2.078348108442684,6322.0,6495.0,"Blood Gas Oxygen Saturation Percent, Capillary",Blood Gas Test,Blood Gas Test,2709-4
1743,1422.0,0.0928270042194092,0.375,0.0896159317211948,0.2853840682788052,4.184523809523814,2.0720374768730823,1540.0,1552.0,Aspergillus flavus (ID),Aspergillus Test,Pathogen Specific Test,23820-4
820,142.0,0.4084507042253521,0.0,0.4172661870503597,-0.4172661870503597,0.0,2.070827255791904,158.0,164.0,"Amylase, Urine","Amylase Test, Urine",General Test,1799-6
7869,901.0,0.4472807991120976,0.75,0.4459308807134894,0.3040691192865106,1.681875,2.069073144199644,1534.0,1757.0,Thyroglobulin Antibody Quantitative Serum or Plasma,General Test,General Test,8098-6
3756,974.0,0.2012320328542094,0.5,0.1993801652892562,0.3006198347107438,2.5077720207253886,2.0689972149384026,1659.0,1674.0,Cockroach Antibody IgE (Blatella germanica),Allergy Test,Allergy Test,6078-0
3037,403.0,0.1588089330024814,0.5,0.1553884711779448,0.3446115288220552,3.2177419354838723,2.06815675618962,403.0,414.0,Aspergillus fumigatus Antibody IgE RAST,Allergy Test,Allergy Test,15549-9
7011,301.0,0.6478405315614618,1.0,0.6406779661016949,0.3593220338983051,1.560846560846561,2.05188225031097,306.0,314.0,"Lidocaine, Serum/Plasma Quantitative",General Test,General Test,3714-3
2730,2563.0,0.0788138899726882,0.3229813664596273,0.0624479600333055,0.2605334064263218,5.172008281573505,2.045011072457369,2563.0,2603.0,Hepatitis C Antibody IgG Qualitative,Hepatitis C Test,Pathogen Specific Test,16129-9
2257,703.0,0.2631578947368421,0.5714285714285714,0.2600574712643678,0.3113711001642036,2.197316495659037,2.041591290289768,875.0,940.0,Streptococcus pneumoniae Antibody Type 4,Strep pneumo Test,Pathogen Specific Test,13132-6
2203,694.0,0.3069164265129683,0.0,0.3118594436310395,-0.3118594436310395,0.0,2.040780707328405,790.0,797.0,"Cortisol, Free",Cortisol Test,General Test,2145-1
2157,689.0,0.262699564586357,0.5714285714285714,0.2595307917888563,0.3118977796397151,2.201775625504439,2.03877959547831,691.0,733.0,Streptococcus pneumoniae Antibody Type 9N,Strep pneumo Test,Pathogen Specific Test,31655-4
1614,2996.0,0.2777036048064085,0.5294117647058824,0.2748143146522619,0.2545974500536204,1.926434455846221,2.0381460420820523,2996.0,3910.0,Aspartate Aminotransferase,AST Test,General Test,1920-8
3757,368.0,0.1576086956521739,0.5,0.1557377049180328,0.3442622950819672,3.210526315789473,2.0348644184401814,368.0,373.0,Cockroach Antibody IgE RAST (Blatella germanica),Allergy Test,Allergy Test,15647-1
6899,524.0,0.3206106870229007,0.0,0.3224568138195777,-0.3224568138195777,0.0,2.0196754474383734,524.0,530.0,Herpes simplex 1 Antibody IgG Quantitative Serum Immunoassay,Herpes Test,Pathogen Specific Test,5206-8
12907,437.0,0.1807780320366132,0.5,0.1702127659574468,0.3297872340425531,2.9375,2.00583815129436,437.0,440.0,Coccidioides immitis Antibody IgM Quantitative Serum,Coccidiodes Test,Pathogen Specific Test,7827-9
