ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio
S52,68839,440,94703,0.003212,0.008142,-0.00493,0.394454
K44,225083,2236,247683,0.01632,0.021293,-0.004973,0.766448
H25,56659,184,73832,0.001343,0.006347,-0.005004,0.211583
R42,264828,2696,287143,0.019678,0.024686,-0.005008,0.797129
I12,498309,7146,665499,0.052158,0.057213,-0.005055,0.911639
M10,156717,1606,195177,0.011722,0.016779,-0.005057,0.698593
M75,99708,690,118325,0.005036,0.010172,-0.005136,0.495085
S62,106538,850,133229,0.006204,0.011454,-0.00525,0.541661
Z45,85606,497,104107,0.003628,0.00895,-0.005323,0.405306
E03,707599,10263,933769,0.074909,0.080277,-0.005368,0.93313
Y93,301480,3187,333295,0.023262,0.028654,-0.005392,0.811821
N93,91500,478,104507,0.003489,0.008985,-0.005496,0.38832
R92,72470,291,88838,0.002124,0.007637,-0.005513,0.2781
C34,108376,1498,191412,0.010934,0.016456,-0.005522,0.664431
I49,178788,1624,202218,0.011853,0.017385,-0.005531,0.681826
K62,182162,1578,198869,0.011518,0.017097,-0.005579,0.67367
D12,89605,268,92922,0.001956,0.007989,-0.006032,0.244863
I44,128687,900,146605,0.006569,0.012604,-0.006035,0.521196
C61,77800,585,120203,0.00427,0.010334,-0.006064,0.413188
Z47,88603,524,116237,0.003825,0.009993,-0.006168,0.382731
O48,95487,352,103097,0.002569,0.008863,-0.006294,0.28987
H66,98804,442,111628,0.003226,0.009597,-0.006371,0.336168
Z66,223871,2096,252498,0.015298,0.021707,-0.006409,0.704759
Z39,93109,379,108132,0.002766,0.009296,-0.00653,0.297572
S42,120905,932,156367,0.006803,0.013443,-0.00664,0.506032
J02,157937,1114,172651,0.008131,0.014843,-0.006712,0.547801
I34,183683,1586,215040,0.011576,0.018487,-0.006911,0.626168
K35,93238,246,101860,0.001796,0.008757,-0.006961,0.20504
Z00,181787,1499,208499,0.010941,0.017925,-0.006984,0.610386
O34,153732,1092,174400,0.00797,0.014993,-0.007023,0.531598
N83,154723,1030,173290,0.007518,0.014898,-0.00738,0.504627
M17,214013,2059,260659,0.015028,0.022409,-0.007381,0.670642
K40,124645,815,155219,0.005949,0.013344,-0.007396,0.445779
N13,211091,1879,245950,0.013715,0.021144,-0.00743,0.648615
S83,107461,452,132908,0.003299,0.011426,-0.008127,0.288732
O69,138526,517,139701,0.003774,0.01201,-0.008237,0.314194
I65,119970,697,155604,0.005087,0.013377,-0.00829,0.380294
I35,134120,925,175326,0.006751,0.015073,-0.008321,0.447922
I70,168427,1242,204634,0.009065,0.017593,-0.008527,0.515289
N18,688912,10960,1030325,0.079996,0.088578,-0.008582,0.903116
D25,122208,443,143394,0.003233,0.012328,-0.009094,0.262289
N92,124446,463,145651,0.003379,0.012522,-0.009142,0.269882
Z51,303726,3195,380963,0.02332,0.032752,-0.009432,0.712025
Z30,149773,728,173149,0.005314,0.014886,-0.009572,0.356959
Z09,181125,1095,212909,0.007992,0.018304,-0.010312,0.436644
R94,364277,3279,400781,0.023933,0.034455,-0.010522,0.694611
J35,114179,78,132895,0.000569,0.011425,-0.010856,0.04983
C50,116257,920,205256,0.006715,0.017646,-0.010931,0.380539
F03,160711,1029,215774,0.007511,0.01855,-0.01104,0.404877
N40,266009,2390,331347,0.017444,0.028486,-0.011042,0.612381
K63,242213,1230,256102,0.008978,0.022017,-0.01304,0.407755
K80,283510,2163,336446,0.015788,0.028924,-0.013137,0.545818
Z3A,277864,2781,399046,0.020298,0.034306,-0.014008,0.591678
O80,235806,914,242261,0.006671,0.020827,-0.014156,0.320309
I10,3297109,53208,4683143,0.38836,0.402613,-0.014253,0.964599
Z85,560723,6324,706871,0.046158,0.06077,-0.014612,0.759554
O70,225553,694,230577,0.005065,0.019823,-0.014757,0.255535
K64,323203,1623,339582,0.011846,0.029194,-0.017348,0.405771
N20,324327,2698,436450,0.019692,0.037522,-0.017829,0.524825
Z34,341752,2896,457382,0.021138,0.039321,-0.018184,0.53756
Z95,626976,7362,888199,0.053734,0.076359,-0.022625,0.703708
K57,444894,2430,491958,0.017736,0.042294,-0.024558,0.419358
Z01,548956,2882,605395,0.021035,0.052046,-0.031011,0.404168
Z37,657552,2945,680034,0.021495,0.058463,-0.036968,0.367673
I48,687904,6902,1048600,0.050377,0.090149,-0.039772,0.55882
I25,1226725,14951,1732114,0.109126,0.148911,-0.039785,0.732826
Z12,539535,1614,623008,0.01178,0.05356,-0.04178,0.219946
E78,2114681,23027,2873694,0.168072,0.247053,-0.078982,0.680305
