ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio
P59,11149,123,11346,0.000898,0.000975,-7.8e-05,0.920384
F71,1302,8,1600,5.8e-05,0.000138,-7.9e-05,0.424496
Q50,1248,4,1274,2.9e-05,0.00011,-8e-05,0.266559
X19,8606,97,9171,0.000708,0.000788,-8e-05,0.897969
O91,1742,11,1870,8e-05,0.000161,-8e-05,0.499408
D15,2012,18,2458,0.000131,0.000211,-8e-05,0.621721
Q04,3681,42,4513,0.000307,0.000388,-8.1e-05,0.790114
C31,932,5,1367,3.6e-05,0.000118,-8.1e-05,0.310531
G96,5315,59,5975,0.000431,0.000514,-8.3e-05,0.83834
H11,13682,161,14635,0.001175,0.001258,-8.3e-05,0.933985
J37,1578,8,1694,5.8e-05,0.000146,-8.7e-05,0.400941
G46,2365,18,2545,0.000131,0.000219,-8.7e-05,0.600468
K09,1443,6,1565,4.4e-05,0.000135,-9.1e-05,0.325492
J84,53872,779,67200,0.005686,0.005777,-9.1e-05,0.984181
Q99,2360,22,2934,0.000161,0.000252,-9.2e-05,0.636602
Q02,1947,16,2431,0.000117,0.000209,-9.2e-05,0.558779
T19,15115,175,15954,0.001277,0.001372,-9.4e-05,0.931269
C17,2519,28,3484,0.000204,0.0003,-9.5e-05,0.682316
H68,1118,2,1283,1.5e-05,0.00011,-9.6e-05,0.132345
W24,1262,2,1295,1.5e-05,0.000111,-9.7e-05,0.131118
N98,1419,4,1464,2.9e-05,0.000126,-9.7e-05,0.231965
W62,3085,24,3161,0.000175,0.000272,-9.7e-05,0.644603
Q40,2073,13,2239,9.5e-05,0.000192,-9.8e-05,0.49294
Z57,2572,18,2685,0.000131,0.000231,-9.9e-05,0.569159
C68,1581,10,1997,7.3e-05,0.000172,-9.9e-05,0.425135
V29,14235,161,14823,0.001175,0.001274,-9.9e-05,0.922139
Q42,1420,9,1924,6.6e-05,0.000165,-0.0001,0.397138
L25,9448,101,9743,0.000737,0.000838,-0.0001,0.880107
O87,1727,7,1766,5.1e-05,0.000152,-0.000101,0.336521
V76,3371,26,3381,0.00019,0.000291,-0.000101,0.652881
