feature,n_methods,methods,description
Z11,3,"Elastic Net, LightGBM, NTK",Encounter for screening for infectious and parasitic diseases
Z12,3,"Elastic Net, LightGBM, NTK",Encounter for screening for malignant neoplasms
Z30,3,"Elastic Net, LightGBM, NTK",Encounter for contraceptive management
Z33,3,"Elastic Net, LightGBM, NTK",Pregnant state
Z37,3,"Elastic Net, LightGBM, NTK",Outcome of delivery
Z39,3,"Elastic Net, LightGBM, NTK",Encounter for maternal postpartum care and examination
Z3A,3,"Elastic Net, LightGBM, NTK",Weeks of gestation
Z45,3,"Elastic Net, LightGBM, NTK",Encounter for adjustment and management of implanted device
Z47,3,"Elastic Net, LightGBM, NTK",Orthopedic aftercare
Z51,3,"Elastic Net, LightGBM, NTK",Encounter for other aftercare and medical care
Z59,3,"LightGBM, NTK, Recurrence Enrichment",Problems related to housing and economic circumstances
Z66,3,"Elastic Net, LightGBM, NTK",Do not resuscitate
Z68,3,"LightGBM, NTK, Recurrence Enrichment",Body mass index [BMI]
Z71,3,"Elastic Net, NTK, Recurrence Enrichment","Persons encountering health services for other counseling and medical advice, not elsewhere classified"
Z79,3,"LightGBM, NTK, Recurrence Enrichment",Long term (current) drug therapy
Z80,3,"Elastic Net, LightGBM, NTK",Family history of primary malignant neoplasm
Z82,3,"Elastic Net, LightGBM, NTK",Family history of certain disabilities and chronic diseases (leading to disablement)
Z83,3,"LightGBM, NTK, Recurrence Enrichment",Family history of other specific disorders
Z85,3,"Elastic Net, LightGBM, NTK",Personal history of malignant neoplasm
Z87,3,"LightGBM, NTK, Recurrence Enrichment",Personal history of other diseases and conditions
Z88,3,"LightGBM, NTK, Recurrence Enrichment","Allergy status to drugs, medicaments and biological substances"
Z90,3,"LightGBM, NTK, Recurrence Enrichment","Acquired absence of organs, not elsewhere classified"
Z91,3,"LightGBM, NTK, Recurrence Enrichment","Personal risk factors, not elsewhere classified"
Z94,3,"Elastic Net, LightGBM, NTK",Transplanted organ and tissue status
Z97,3,"Elastic Net, LightGBM, Recurrence Enrichment",Presence of other devices
