ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
E06,15538,185,18122,0.00135,0.001558,-0.000208,0.866707,Thyroiditis
Q28,4583,43,6065,0.000314,0.000521,-0.000208,0.601927,Other congenital malformations of circulatory system
E30,1926,2,2605,1.5e-05,0.000224,-0.000209,0.065182,"Disorders of puberty, not elsewhere classified"
C51,2453,19,4048,0.000139,0.000348,-0.000209,0.398491,Malignant neoplasm of vulva
J38,25405,334,30798,0.002438,0.002648,-0.00021,0.920727,"Diseases of vocal cords and larynx, not elsewhere classified"
M92,2979,15,3729,0.000109,0.000321,-0.000211,0.341511,Other juvenile osteochondrosis
Q10,2162,2,2620,1.5e-05,0.000225,-0.000211,0.064809,"Congenital malformations of eyelid, lacrimal apparatus and orbit"
C69,1834,7,3063,5.1e-05,0.000263,-0.000212,0.194024,Malignant neoplasm of eye and adnexa
N22,5407,39,5829,0.000285,0.000501,-0.000216,0.568037,Calculus of urinary tract in diseases classified elsewhere
F89,6398,54,7108,0.000394,0.000611,-0.000217,0.64499,Unspecified disorder of psychological development
R30,133274,1654,142960,0.012072,0.01229,-0.000218,0.982264,Pain associated with micturition
Z36,14246,173,17242,0.001263,0.001482,-0.00022,0.851854,Encounter for antenatal screening of mother
O92,3499,15,3850,0.000109,0.000331,-0.000222,0.330778,Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
Q83,2706,3,2836,2.2e-05,0.000244,-0.000222,0.089809,Congenital malformations of breast
R01,44033,519,46677,0.003788,0.004013,-0.000225,0.943999,Cardiac murmurs and other cardiac sounds
D07,3226,18,4142,0.000131,0.000356,-0.000225,0.368951,Carcinoma in situ of other and unspecified genital organs
N61,16969,210,20464,0.001533,0.001759,-0.000227,0.871236,Inflammatory disorders of breast
H27,3436,21,4421,0.000153,0.00038,-0.000227,0.403278,Other disorders of lens
W00,6264,48,6723,0.00035,0.000578,-0.000228,0.606156,Fall due to ice and snow
L70,3713,22,4541,0.000161,0.00039,-0.00023,0.411317,Acne
S13,14253,140,14572,0.001022,0.001253,-0.000231,0.815672,Dislocation and sprain of joints and ligaments at neck level
W50,5552,37,5829,0.00027,0.000501,-0.000231,0.538907,"Hit, struck, kicked, twisted, bitten or scratched by another person"
T25,7496,80,9552,0.000584,0.000821,-0.000237,0.711053,Burn and corrosion of ankle and foot
D51,14731,165,16773,0.001204,0.001442,-0.000238,0.83518,Vitamin B12 deficiency anemia
D11,3562,17,4213,0.000124,0.000362,-0.000238,0.342581,Benign neoplasm of major salivary glands
H18,6065,52,7222,0.00038,0.000621,-0.000241,0.611297,Other disorders of cornea
D30,3659,13,3947,9.5e-05,0.000339,-0.000244,0.279629,Benign neoplasm of urinary organs
V28,7038,52,7261,0.00038,0.000624,-0.000245,0.608014,Motorcycle rider injured in noncollision transport accident
Q22,4082,33,5685,0.000241,0.000489,-0.000248,0.492822,Congenital malformations of pulmonary and tricuspid valves
