ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
M94,124332,1097,131428,0.008007,0.011299,-0.003292,0.70864,Other disorders of cartilage
K81,87835,652,93697,0.004759,0.008055,-0.003296,0.590784,Cholecystitis
N60,41627,108,47562,0.000788,0.004089,-0.003301,0.192784,Benign mammary dysplasia
R13,213878,2457,247096,0.017933,0.021243,-0.00331,0.844202,Aphagia and dysphagia
H90,37517,132,49916,0.000963,0.004291,-0.003328,0.224513,Conductive and sensorineural hearing loss
X58,154904,1487,167106,0.010853,0.014366,-0.003513,0.755485,Exposure to other specified factors
O47,69449,459,80616,0.00335,0.006931,-0.00358,0.483391,False labor
A02,39647,110,51362,0.000803,0.004416,-0.003613,0.181827,Other salmonella infections
J30,92523,709,102694,0.005175,0.008829,-0.003654,0.586149,Vasomotor and allergic rhinitis
N95,56613,276,66171,0.002014,0.005689,-0.003674,0.354118,Menopausal and other perimenopausal disorders
O62,66336,283,67695,0.002066,0.00582,-0.003754,0.354925,Abnormalities of forces of labor
S72,105895,1002,128792,0.007313,0.011072,-0.003759,0.66052,Fracture of femur
N94,79577,476,86266,0.003474,0.007416,-0.003942,0.468462,Pain and other conditions associated with female genital organs and menstrual cycle
I50,708128,11503,1022486,0.083959,0.087904,-0.003945,0.955126,Heart failure
N84,45604,43,49753,0.000314,0.004277,-0.003963,0.073376,Polyp of female genital tract
E04,65641,415,81395,0.003029,0.006998,-0.003969,0.43287,Other nontoxic goiter
K42,80540,554,93847,0.004044,0.008068,-0.004024,0.501183,Umbilical hernia
C18,57368,516,91428,0.003766,0.00786,-0.004094,0.479157,Malignant neoplasm of colon
C78,104170,1060,137835,0.007737,0.01185,-0.004113,0.65291,Secondary malignant neoplasm of respiratory and digestive organs
I71,81600,689,106894,0.005029,0.00919,-0.004161,0.547234,Aortic aneurysm and dissection
M23,63854,244,69451,0.001781,0.005971,-0.00419,0.298276,Internal derangement of knee
H65,46952,71,55027,0.000518,0.004731,-0.004212,0.109544,Nonsuppurative otitis media
N99,108964,740,112211,0.005401,0.009647,-0.004246,0.559891,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
H40,84841,666,105982,0.004861,0.009111,-0.00425,0.533518,Glaucoma
H26,61380,285,75401,0.00208,0.006482,-0.004402,0.320904,Other cataract
J32,125809,1059,141883,0.00773,0.012198,-0.004468,0.633684,Chronic sinusitis
R05,376330,4286,416934,0.031283,0.035844,-0.004561,0.872754,Cough
Z80,228597,2289,247402,0.016707,0.021269,-0.004562,0.785506,Family history of primary malignant neoplasm
J34,63572,223,72232,0.001628,0.00621,-0.004582,0.262109,Other and unspecified disorders of nose and nasal sinuses
O76,103773,591,104350,0.004314,0.008971,-0.004657,0.480842,Abnormality in fetal heart rate and rhythm complicating labor and delivery
F02,62036,265,77092,0.001934,0.006628,-0.004693,0.291839,Dementia in other diseases classified elsewhere
S43,82305,461,94388,0.003365,0.008115,-0.00475,0.414659,Dislocation and sprain of joints and ligaments of shoulder girdle
Z48,125627,1093,149294,0.007978,0.012835,-0.004857,0.621563,Encounter for other postprocedural aftercare
G30,57917,214,74818,0.001562,0.006432,-0.00487,0.242837,Alzheimer's disease
S52,68839,440,94703,0.003212,0.008142,-0.00493,0.394454,Fracture of forearm
K44,225083,2236,247683,0.01632,0.021293,-0.004973,0.766448,Diaphragmatic hernia
H25,56659,184,73832,0.001343,0.006347,-0.005004,0.211583,Age-related cataract
R42,264828,2696,287143,0.019678,0.024686,-0.005008,0.797129,Dizziness and giddiness
I12,498309,7146,665499,0.052158,0.057213,-0.005055,0.911639,Hypertensive chronic kidney disease
M10,156717,1606,195177,0.011722,0.016779,-0.005057,0.698593,Gout
M75,99708,690,118325,0.005036,0.010172,-0.005136,0.495085,Shoulder lesions
S62,106538,850,133229,0.006204,0.011454,-0.00525,0.541661,Fracture at wrist and hand level
Z45,85606,497,104107,0.003628,0.00895,-0.005323,0.405306,Encounter for adjustment and management of implanted device
E03,707599,10263,933769,0.074909,0.080277,-0.005368,0.93313,Other hypothyroidism
Y93,301480,3187,333295,0.023262,0.028654,-0.005392,0.811821,Activity codes
N93,91500,478,104507,0.003489,0.008985,-0.005496,0.38832,Other abnormal uterine and vaginal bleeding
R92,72470,291,88838,0.002124,0.007637,-0.005513,0.2781,Abnormal and inconclusive findings on diagnostic imaging of breast
C34,108376,1498,191412,0.010934,0.016456,-0.005522,0.664431,Malignant neoplasm of bronchus and lung
I49,178788,1624,202218,0.011853,0.017385,-0.005531,0.681826,Other cardiac arrhythmias
K62,182162,1578,198869,0.011518,0.017097,-0.005579,0.67367,Other diseases of anus and rectum
D12,89605,268,92922,0.001956,0.007989,-0.006032,0.244863,"Benign neoplasm of colon, rectum, anus and anal canal"
I44,128687,900,146605,0.006569,0.012604,-0.006035,0.521196,Atrioventricular and left bundle-branch block
C61,77800,585,120203,0.00427,0.010334,-0.006064,0.413188,Malignant neoplasm of prostate
Z47,88603,524,116237,0.003825,0.009993,-0.006168,0.382731,Orthopedic aftercare
O48,95487,352,103097,0.002569,0.008863,-0.006294,0.28987,Late pregnancy
H66,98804,442,111628,0.003226,0.009597,-0.006371,0.336168,Suppurative and unspecified otitis media
Z66,223871,2096,252498,0.015298,0.021707,-0.006409,0.704759,Do not resuscitate
Z39,93109,379,108132,0.002766,0.009296,-0.00653,0.297572,Encounter for maternal postpartum care and examination
S42,120905,932,156367,0.006803,0.013443,-0.00664,0.506032,Fracture of shoulder and upper arm
J02,157937,1114,172651,0.008131,0.014843,-0.006712,0.547801,Acute pharyngitis
I34,183683,1586,215040,0.011576,0.018487,-0.006911,0.626168,Nonrheumatic mitral valve disorders
K35,93238,246,101860,0.001796,0.008757,-0.006961,0.20504,Acute appendicitis
Z00,181787,1499,208499,0.010941,0.017925,-0.006984,0.610386,"Encounter for general examination without complaint, suspected or reported diagnosis"
O34,153732,1092,174400,0.00797,0.014993,-0.007023,0.531598,Maternal care for abnormality of pelvic organs
N83,154723,1030,173290,0.007518,0.014898,-0.00738,0.504627,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
M17,214013,2059,260659,0.015028,0.022409,-0.007381,0.670642,Osteoarthritis of knee
K40,124645,815,155219,0.005949,0.013344,-0.007396,0.445779,Inguinal hernia
N13,211091,1879,245950,0.013715,0.021144,-0.00743,0.648615,Obstructive and reflux uropathy
S83,107461,452,132908,0.003299,0.011426,-0.008127,0.288732,Dislocation and sprain of joints and ligaments of knee
O69,138526,517,139701,0.003774,0.01201,-0.008237,0.314194,Labor and delivery complicated by umbilical cord complications
I65,119970,697,155604,0.005087,0.013377,-0.00829,0.380294,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
I35,134120,925,175326,0.006751,0.015073,-0.008321,0.447922,Nonrheumatic aortic valve disorders
I70,168427,1242,204634,0.009065,0.017593,-0.008527,0.515289,Atherosclerosis
N18,688912,10960,1030325,0.079996,0.088578,-0.008582,0.903116,Chronic kidney disease (CKD)
D25,122208,443,143394,0.003233,0.012328,-0.009094,0.262289,Leiomyoma of uterus
N92,124446,463,145651,0.003379,0.012522,-0.009142,0.269882,"Excessive, frequent and irregular menstruation"
Z51,303726,3195,380963,0.02332,0.032752,-0.009432,0.712025,Encounter for other aftercare and medical care
Z30,149773,728,173149,0.005314,0.014886,-0.009572,0.356959,Encounter for contraceptive management
Z09,181125,1095,212909,0.007992,0.018304,-0.010312,0.436644,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
R94,364277,3279,400781,0.023933,0.034455,-0.010522,0.694611,Abnormal results of function studies
J35,114179,78,132895,0.000569,0.011425,-0.010856,0.04983,Chronic diseases of tonsils and adenoids
C50,116257,920,205256,0.006715,0.017646,-0.010931,0.380539,Malignant neoplasm of breast
F03,160711,1029,215774,0.007511,0.01855,-0.01104,0.404877,Unspecified dementia
N40,266009,2390,331347,0.017444,0.028486,-0.011042,0.612381,Hyperplasia of prostate
K63,242213,1230,256102,0.008978,0.022017,-0.01304,0.407755,Other diseases of intestine
K80,283510,2163,336446,0.015788,0.028924,-0.013137,0.545818,Cholelithiasis
Z3A,277864,2781,399046,0.020298,0.034306,-0.014008,0.591678,Weeks of gestation
O80,235806,914,242261,0.006671,0.020827,-0.014156,0.320309,Encounter for full-term uncomplicated delivery
I10,3297109,53208,4683143,0.38836,0.402613,-0.014253,0.964599,Essential (primary) hypertension
Z85,560723,6324,706871,0.046158,0.06077,-0.014612,0.759554,Personal history of malignant neoplasm
O70,225553,694,230577,0.005065,0.019823,-0.014757,0.255535,Perineal laceration during delivery
K64,323203,1623,339582,0.011846,0.029194,-0.017348,0.405771,Hemorrhoids and perianal venous thrombosis
N20,324327,2698,436450,0.019692,0.037522,-0.017829,0.524825,Calculus of kidney and ureter
Z34,341752,2896,457382,0.021138,0.039321,-0.018184,0.53756,Encounter for supervision of normal pregnancy
Z95,626976,7362,888199,0.053734,0.076359,-0.022625,0.703708,Presence of cardiac and vascular implants and grafts
K57,444894,2430,491958,0.017736,0.042294,-0.024558,0.419358,Diverticular disease of intestine
Z01,548956,2882,605395,0.021035,0.052046,-0.031011,0.404168,"Encounter for other special examination without complaint, suspected or reported diagnosis"
Z37,657552,2945,680034,0.021495,0.058463,-0.036968,0.367673,Outcome of delivery
I48,687904,6902,1048600,0.050377,0.090149,-0.039772,0.55882,Atrial fibrillation and flutter
I25,1226725,14951,1732114,0.109126,0.148911,-0.039785,0.732826,Chronic ischemic heart disease
Z12,539535,1614,623008,0.01178,0.05356,-0.04178,0.219946,Encounter for screening for malignant neoplasms
E78,2114681,23027,2873694,0.168072,0.247053,-0.078982,0.680305,Disorders of lipoprotein metabolism and other lipidemias
