rank,feature,coef,abs_coef
526,E44,-0.115667954,0.115667954
527,G20,-0.11525577,0.11525577
528,I45,-0.11516135,0.11516135
529,G03,-0.114782035,0.114782035
530,E05,-0.11340029,0.11340029
531,N49,-0.11337127,0.11337127
532,M89,-0.113057785,0.113057785
533,F40,0.11301174,0.11301174
534,R23,0.112867065,0.112867065
535,L82,-0.1122117,0.1122117
536,Z88,0.11216872,0.11216872
537,R47,-0.11131971,0.11131971
538,K27,0.11105373,0.11105373
539,K26,-0.11097644,0.11097644
540,S03,0.11014146,0.11014146
541,K46,0.10948401,0.10948401
542,Y92,0.10912632,0.10912632
543,R91,-0.10899599,0.10899599
544,I12,-0.10897124,0.10897124
545,R99,0.10882247,0.10882247
546,G62,0.10849065,0.10849065
547,T36,-0.10841574,0.10841574
548,E27,0.1075936,0.1075936
549,R06,0.107248664,0.107248664
550,I51,-0.10620326,0.10620326
551,Y09,0.106034234,0.106034234
552,T87,0.10583594,0.10583594
553,M35,0.10571416,0.10571416
554,I10,-0.1044908,0.1044908
555,Z95,-0.10430871,0.10430871
556,Z68,-0.10353396,0.10353396
557,Z04,0.10318031,0.10318031
558,D07,-0.103015795,0.103015795
559,R25,0.102729715,0.102729715
560,L70,-0.10176925,0.10176925
561,K76,-0.100974,0.100974
562,L01,0.1009512,0.1009512
563,S09,0.10089659,0.10089659
564,S91,-0.100611165,0.100611165
565,Z74,-0.10007552,0.10007552
566,K74,0.09992783,0.09992783
567,S00,-0.09979373,0.09979373
568,I83,-0.09918066,0.09918066
569,E88,-0.09876858,0.09876858
570,D72,-0.098287575,0.098287575
571,I87,0.097861156,0.097861156
572,S23,-0.09727219,0.09727219
