feature,description,n_methods,methods
F13,"Sedative, hypnotic, or anxiolytic related disorders",2,Elastic Net & Recurrence Enrichment
F15,Other stimulant related disorders,2,Elastic Net & Recurrence Enrichment
F33,"Major depressive disorder, recurrent",2,Elastic Net & Recurrence Enrichment
F34,Persistent mood [affective] disorders,2,Elastic Net & Recurrence Enrichment
F39,Unspecified mood [affective] disorder,2,Elastic Net & Recurrence Enrichment
K31,Other diseases of stomach and duodenum,2,Elastic Net & Recurrence Enrichment
K50,Crohn's disease [regional enteritis],2,Elastic Net & Recurrence Enrichment
A05,"Other bacterial foodborne intoxications, not elsewhere classified",1,Elastic Net
B17,Other acute viral hepatitis,1,Elastic Net
C54,Malignant neoplasm of corpus uteri,1,Elastic Net
D17,Benign lipomatous neoplasm,1,Elastic Net
E04,Other nontoxic goiter,1,Elastic Net
E10,Type 1 diabetes mellitus,1,Elastic Net
F69,Unspecified disorder of adult personality and behaviour,1,Elastic Net
G30,Alzheimer's disease,1,Elastic Net
G82,Paraplegia (paraparesis) and quadriplegia (quadriparesis),1,Elastic Net
G91,Hydrocephalus,1,Elastic Net
H66,Suppurative and unspecified otitis media,1,Elastic Net
H90,Conductive and sensorineural hearing loss,1,Elastic Net
J03,Acute tonsillitis,1,Elastic Net
J34,Other and unspecified disorders of nose and nasal sinuses,1,Elastic Net
K42,Umbilical hernia,1,Elastic Net
K81,Cholecystitis,1,Elastic Net
M20,Acquired deformities of fingers and toes,1,Elastic Net
M23,Internal derangement of knee,1,Elastic Net
M65,Synovitis and tenosynovitis,1,Elastic Net
M67,Other disorders of synovium and tendon,1,Elastic Net
M75,Shoulder lesions,1,Elastic Net
M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",1,Elastic Net
N60,Benign mammary dysplasia,1,Elastic Net
N81,Female genital prolapse,1,Elastic Net
N93,Other abnormal uterine and vaginal bleeding,1,Elastic Net
O02,Other abnormal products of conception,1,Elastic Net
O35,Maternal care for known or suspected fetal abnormality and damage,1,Elastic Net
S43,Dislocation and sprain of joints and ligaments of shoulder girdle,1,Elastic Net
S59,Other and unspecified injuries of elbow and forearm,1,Elastic Net
S82,"Fracture of lower leg, including ankle",1,Elastic Net
V85,Occupant of special construction vehicle injured in transport accident,1,Elastic Net
W21,Striking against or struck by sports equipment,1,Elastic Net
Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,1,Elastic Net
Z39,Encounter for maternal postpartum care and examination,1,Elastic Net
Z45,Encounter for adjustment and management of implanted device,1,Elastic Net
Z47,Orthopedic aftercare,1,Elastic Net
B37,Candidiasis,1,Recurrence Enrichment
B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere",1,Recurrence Enrichment
B96,Other bacterial agents as the cause of diseases classified elsewhere,1,Recurrence Enrichment
F20,Schizophrenia,1,Recurrence Enrichment
F25,Schizoaffective disorders,1,Recurrence Enrichment
F29,Unspecified psychosis not due to a substance or known physiological condition,1,Recurrence Enrichment
F60,Specific personality disorders,1,Recurrence Enrichment
F90,Attention-deficit hyperactivity disorders,1,Recurrence Enrichment
G92,Toxic encephalopathy,1,Recurrence Enrichment
J69,Pneumonitis due to solids and liquids,1,Recurrence Enrichment
K70,Alcoholic liver disease,1,Recurrence Enrichment
K74,Fibrosis and cirrhosis of liver,1,Recurrence Enrichment
K76,Other diseases of liver,1,Recurrence Enrichment
K85,Acute pancreatitis,1,Recurrence Enrichment
L02,"Cutaneous abscess, furuncle and carbuncle",1,Recurrence Enrichment
L97,"Non-pressure chronic ulcer of lower limb, not elsewhere classified",1,Recurrence Enrichment
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",1,Recurrence Enrichment
M06,Other rheumatoid arthritis,1,Recurrence Enrichment
M62,Other disorders of muscle,1,Recurrence Enrichment
R40,"Somnolence, stupor and coma",1,Recurrence Enrichment
R52,"Pain, unspecified",1,Recurrence Enrichment
R56,"Convulsions, not elsewhere classified",1,Recurrence Enrichment
R65,Symptoms and signs specifically associated with systemic inflammation and infection,1,Recurrence Enrichment
R69,Unknown and unspecified causes of morbidity,1,Recurrence Enrichment
R74,Abnormal serum enzyme levels,1,Recurrence Enrichment
R78,"Findings of drugs and other substances, not normally found in blood",1,Recurrence Enrichment
T42,"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs",1,Recurrence Enrichment
T43,"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified",1,Recurrence Enrichment
T50,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances",1,Recurrence Enrichment
Z59,Problems related to housing and economic circumstances,1,Recurrence Enrichment
E11,Type 2 diabetes mellitus,1,NTK
I50,Heart failure,1,NTK
I73,Other peripheral vascular diseases,1,NTK
J98,Other respiratory disorders,1,NTK
K29,Gastritis and duodenitis,1,NTK
K92,Other diseases of digestive system,1,NTK
M19,Other and unspecified osteoarthritis,1,NTK
N18,Chronic kidney disease (CKD),1,NTK
N39,Other disorders of urinary system,1,NTK
R05,Cough,1,NTK
R09,Other symptoms and signs involving the circulatory and respiratory system,1,NTK
R19,Other symptoms and signs involving the digestive system and abdomen,1,NTK
R51,Headache,1,NTK
R53,Malaise and fatigue,1,NTK
R55,Syncope and collapse,1,NTK
Z34,Encounter for supervision of normal pregnancy,1,NTK
Z90,"Acquired absence of organs, not elsewhere classified",1,NTK
Z96,Presence of other functional implants,1,NTK
Z98,Other postprocedural states,1,NTK
D62,Acute posthaemorrhagic anaemia,1,LightGBM
I44,Atrioventricular and left bundle-branch block,1,LightGBM
I49,Other cardiac arrhythmias,1,LightGBM
K63,Other diseases of intestine,1,LightGBM
N13,Obstructive and reflux uropathy,1,LightGBM
N40,Hyperplasia of prostate,1,LightGBM
O80,Encounter for full-term uncomplicated delivery,1,LightGBM
S72,Fracture of femur,1,LightGBM
Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",1,LightGBM
Y99,External cause status,1,LightGBM
Z80,Family history of primary malignant neoplasm,1,LightGBM
