rank,feature,mean_abs_shap,DIAGNOSIS_DESCRIPTION
896,N50,1.504581541666994e-05,Other and unspecified disorders of male genital organs
897,M08,1.5042182894831058e-05,Juvenile arthritis
898,O32,1.4973400539020076e-05,Maternal care for malpresentation of fetus
899,A87,1.4827906852588058e-05,Viral meningitis
900,W03,1.4789570741413629e-05,"Other fall on same level due to collision with, or pushing by, another person"
901,H18,1.4587821169698144e-05,Other disorders of cornea
902,Y33,1.434537898603594e-05,"Other specified events, undetermined intent"
903,F44,1.4308333447843324e-05,Dissociative and conversion disorders
904,W26,1.430489464837592e-05,"Contact with knife, sword or dagger"
905,Y95,1.4289128557720687e-05,Nosocomial condition
906,N52,1.415904625901021e-05,Male erectile dysfunction
907,H51,1.414330199622782e-05,Other disorders of binocular movement
908,G99,1.4118567378318405e-05,Other disorders of nervous system in diseases classified elsewhere
909,E23,1.407507988915313e-05,Hypofunction and other disorders of the pituitary gland
910,S08,1.406806222803425e-05,Avulsion and traumatic amputation of part of head
911,A60,1.390388479194371e-05,Anogenital herpesviral [herpes simplex] infections
912,M84,1.3711089195567183e-05,Disorder of continuity of bone
913,R77,1.3598774785350544e-05,Other abnormalities of plasma proteins
914,D30,1.3455872249323876e-05,Benign neoplasm of urinary organs
915,K11,1.339805021416396e-05,Diseases of salivary glands
916,T88,1.3295126336743124e-05,"Other complications of surgical and medical care, not elsewhere classified"
917,S81,1.3245659829408396e-05,Open wound of knee and lower leg
918,R04,1.3241189662949182e-05,Hemorrhage from respiratory passages
919,I99,1.3167694305593614e-05,Other and unspecified disorders of circulatory system
920,L65,1.295918809773866e-05,Other nonscarring hair loss
921,M27,1.2951963071827777e-05,Other diseases of jaws
922,Z84,1.2950213204021566e-05,Family history of other conditions
923,N22,1.29256068248651e-05,Calculus of urinary tract in diseases classified elsewhere
924,S66,1.287571922148345e-05,"Injury of muscle, fascia and tendon at wrist and hand level"
925,C76,1.2837933354603592e-05,Malignant neoplasm of other and ill-defined sites
926,K13,1.2791581866622437e-05,Other diseases of lip and oral mucosa
927,I81,1.271816381631652e-05,Portal vein thrombosis
928,C09,1.2674969184445216e-05,Malignant neoplasm of tonsil
929,N48,1.262657497136388e-05,Other disorders of penis
930,B38,1.2511587556218728e-05,Coccidioidomycosis
931,E35,1.248021908395458e-05,Disorders of endocrine glands in diseases classified elsewhere
932,Z46,1.2182673344796058e-05,Encounter for fitting and adjustment of other devices
933,I05,1.2103163498977663e-05,Rheumatic mitral valve diseases
934,D52,1.2082608918717597e-05,Folate deficiency anemia
935,H93,1.2042308298987336e-05,"Other disorders of ear, not elsewhere classified"
936,I52,1.1971824278589338e-05,Other heart disorders in diseases classified elsewhere
937,T46,1.1911776709894184e-05,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system"
938,Z60,1.184541451948462e-05,Problems related to social environment
939,P27,1.173959935840685e-05,Chronic respiratory disease originating in the perinatal period
940,C84,1.1568167792574968e-05,Mature T/NK-cell lymphomas
941,M40,1.1539842489582952e-05,Kyphosis and lordosis
942,L29,1.1527014976309148e-05,Pruritus
943,R64,1.1379570423741823e-05,Cachexia
944,A56,1.1267314221186098e-05,Other sexually transmitted chlamydial diseases
945,T79,1.1165140676894223e-05,"Certain early complications of trauma, not elsewhere classified"
946,Q60,1.0964272405544762e-05,Renal agenesis and other reduction defects of kidney
947,M05,1.0878752618737051e-05,Rheumatoid arthritis with rheumatoid factor
948,H57,1.0707502042350823e-05,Other disorders of eye and adnexa
949,N33,1.0349705007683951e-05,Bladder disorders in diseases classified elsewhere
950,F42,1.0188237865804696e-05,Obsessive-compulsive disorder
951,A59,1.0132763236470057e-05,Trichomoniasis
952,G61,1.010079631669214e-05,Inflammatory polyneuropathy
953,H15,1.0053407095256262e-05,Disorders of sclera
954,A42,1.00495790320565e-05,Actinomycosis
955,B85,1.0027901225839742e-05,Pediculosis and phthiriasis
956,L81,9.9679627965088e-06,Other disorders of pigmentation
957,K30,9.961820069293026e-06,Functional dyspepsia
958,K45,9.94630499917548e-06,Other abdominal hernia
959,O16,9.607065294403585e-06,Unspecified maternal hypertension
960,N45,9.524757842882536e-06,Orchitis and epididymitis
961,G58,9.520294952380937e-06,Other mononeuropathies
962,T38,9.505095476924907e-06,"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified"
963,L30,9.482280802330934e-06,Other and unspecified dermatitis
964,F51,9.400119779456872e-06,Sleep disorders not due to a substance or known physiological condition
965,N04,9.34177660383284e-06,Nephrotic syndrome
966,E61,9.337293704447802e-06,Deficiency of other nutrient elements
967,M18,9.285771739087068e-06,Osteoarthritis of first carpometacarpal joint
968,C82,9.271556336898357e-06,Follicular lymphoma
969,D82,9.2465452325996e-06,Immunodeficiency associated with other major defects
970,L62,9.213320481649134e-06,Nail disorders in diseases classified elsewhere
971,K14,9.2029404186178e-06,Diseases of tongue
972,H54,9.142742783296852e-06,Blindness and low vision
973,J86,9.10231210582424e-06,Pyothorax
974,O64,9.064849109563513e-06,Obstructed labor due to malposition and malpresentation of fetus
975,R61,8.82759559317492e-06,Generalized hyperhidrosis
976,L28,8.810940926196054e-06,Lichen simplex chronicus and prurigo
977,J94,8.787877050053794e-06,Other pleural conditions
978,O10,8.762898687564302e-06,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
979,X12,8.760636774240993e-06,Contact with other hot fluids
980,J39,8.7255521066254e-06,Other diseases of upper respiratory tract
981,D59,8.706777407496702e-06,Acquired hemolytic anemia
982,C55,8.692855772096664e-06,"Malignant neoplasm of uterus, part unspecified"
983,L60,8.682384759595152e-06,Nail disorders
984,N76,8.619277650723234e-06,Other inflammation of vagina and vulva
985,J41,8.614588296040893e-06,Simple and mucopurulent chronic bronchitis
986,H20,8.608916687080637e-06,Iridocyclitis
987,D61,8.526191777491476e-06,Other aplastic anemias and other bone marrow failure syndromes
988,S71,8.345789865416009e-06,Open wound of hip and thigh
989,S49,8.322222129208967e-06,Other and unspecified injuries of shoulder and upper arm
990,C19,8.284514478873461e-06,Malignant neoplasm of rectosigmoid junction
991,A52,8.236750545620453e-06,Late syphilis
992,N26,8.219936717068776e-06,Unspecified contracted kidney
993,H00,8.204942787415348e-06,Hordeolum and chalazion
994,P70,8.025896931940224e-06,Transitory disorders of carbohydrate metabolism specific to newborn
995,H16,8.014846571313683e-06,Keratitis
996,K23,8.000138222996611e-06,Disorders of esophagus in diseases classified elsewhere
997,F73,7.940306204545777e-06,Profound intellectual disabilities
998,D38,7.912702130852267e-06,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
999,G07,7.899202500993852e-06,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
1000,L99,7.896459464973304e-06,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
1001,E56,7.892382200225256e-06,Other vitamin deficiencies
1002,S76,7.855539479351137e-06,"Injury of muscle, fascia and tendon at hip and thigh level"
1003,C93,7.848042514524423e-06,Monocytic leukemia
1004,I36,7.811035175109282e-06,Nonrheumatic tricuspid valve disorders
1005,N15,7.753313184366561e-06,Other renal tubulo-interstitial diseases
1006,H11,7.70410679251654e-06,Other disorders of conjunctiva
1007,K95,7.612298304593423e-06,Complications of bariatric procedures
1008,I80,7.6075798460806254e-06,Phlebitis and thrombophlebitis
1009,T17,7.4301638051110785e-06,Foreign body in respiratory tract
1010,D80,7.3561095632612705e-06,Immunodeficiency with predominantly antibody defects
1011,C41,7.352275588345947e-06,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
1012,D66,7.323464160435833e-06,Hereditary factor VIII deficiency
1013,F99,7.293399448826676e-06,"Mental disorder, not otherwise specified"
1014,I30,7.2800689849827904e-06,Acute pericarditis
1015,F40,7.209100658656098e-06,Phobic anxiety disorders
1016,T51,7.185163212852785e-06,Toxic effect of alcohol
1017,B44,7.181648925325135e-06,Aspergillosis
1018,G54,7.173045105446363e-06,Nerve root and plexus disorders
1019,M60,7.097016350599006e-06,Myositis
1020,G12,6.919581664988073e-06,Spinal muscular atrophy and related syndromes
1021,C20,6.80421908327844e-06,Malignant neoplasm of rectum
1022,L73,6.754051355528645e-06,Other follicular disorders
1023,T41,6.679196758341277e-06,"Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases"
1024,G83,6.65152219880838e-06,Other paralytic syndromes
1025,E34,6.610268883378012e-06,Other endocrine disorders
1026,F91,6.480588581325719e-06,Conduct disorders
1027,F30,6.480233423644677e-06,Manic episode
1028,D53,6.453184596466599e-06,Other nutritional anemias
1029,D83,6.35927699477179e-06,Common variable immunodeficiency
1030,P92,6.352210675686365e-06,Feeding problems of newborn
1031,F52,6.311814559012419e-06,Sexual dysfunction not due to a substance or known physiological condition
1032,Z75,6.286597908911062e-06,Problems related to medical facilities and other health care
1033,O15,6.215844223333988e-06,Eclampsia
1034,I07,6.215188932401361e-06,Rheumatic tricuspid valve diseases
1035,R43,6.1719492805423215e-06,Disturbances of smell and taste
1036,G24,6.11309815212735e-06,Dystonia
1037,G06,6.108179150032811e-06,Intracranial and intraspinal abscess and granuloma
1038,M97,6.094565833336674e-06,Periprosthetic fracture around internal prosthetic joint
1039,A74,6.085584573156666e-06,Other diseases caused by chlamydiae
1040,I78,6.058339749870356e-06,Diseases of capillaries
1041,P96,6.021167791914195e-06,Other conditions originating in the perinatal period
1042,S41,5.99524400968221e-06,Open wound of shoulder and upper arm
1043,I86,5.934922683081823e-06,Varicose veins of other sites
1044,D33,5.871591838513268e-06,Benign neoplasm of brain and other parts of central nervous system
1045,Q82,5.861852514499333e-06,Other congenital malformations of skin
1046,F64,5.8147943491349e-06,Gender identity disorders
1047,O77,5.73983106733067e-06,Other fetal stress complicating labor and delivery
1048,O22,5.653166226693429e-06,Venous complications and hemorrhoids in pregnancy
1049,M80,5.629270162899047e-06,Osteoporosis with current pathological fracture
1050,W88,5.604762009170372e-06,Exposure to ionizing radiation
1051,E68,5.456454346131068e-06,Sequelae of hyperalimentation
1052,Z65,5.440047971205786e-06,Problems related to other psychosocial circumstances
1053,T71,5.421355581347598e-06,Asphyxiation
1054,C74,5.41498548045638e-06,Malignant neoplasm of adrenal gland
1055,C10,5.412159680417972e-06,Malignant neoplasm of oropharynx
1056,S37,5.338127266441006e-06,Injury of urinary and pelvic organs
1057,C88,5.330563908501063e-06,Malignant immunoproliferative diseases and certain other B-cell lymphomas
1058,Y79,5.3200901675154455e-06,Orthopedic devices associated with adverse incidents
1059,E76,5.304380010784371e-06,Disorders of glycosaminoglycan metabolism
1060,Q05,5.253248218650697e-06,Spina bifida
1061,C17,5.22255231771851e-06,Malignant neoplasm of small intestine
1062,I43,5.210250492382329e-06,Cardiomyopathy in diseases classified elsewhere
1063,L10,5.174816578801256e-06,Pemphigus
1064,S38,5.121560661791591e-06,"Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals"
1065,J00,5.079739366919966e-06,Acute nasopharyngitis [common cold]
1066,R46,5.076455181551864e-06,Symptoms and signs involving appearance and behavior
1067,L21,5.044278623245191e-06,Seborrheic dermatitis
1068,Q16,5.026147391617997e-06,Congenital malformations of ear causing impairment of hearing
1069,Q99,4.872983481618576e-06,"Other chromosome abnormalities, not elsewhere classified"
1070,R48,4.8310889724234585e-06,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
1071,R34,4.818225534108933e-06,Anuria and oliguria
1072,F09,4.811451617570128e-06,Unspecified mental disorder due to known physiological condition
1073,Q22,4.775934485223843e-06,Congenital malformations of pulmonary and tricuspid valves
1074,X10,4.705112132796785e-06,"Contact with hot drinks, food, fats and cooking oils"
1075,Q78,4.6815503083053045e-06,Other osteochondrodysplasias
1076,W00,4.673277089750627e-06,Fall due to ice and snow
1077,J82,4.665875621867599e-06,"Pulmonary eosinophilia, not elsewhere classified"
1078,Q33,4.639219696400687e-06,Congenital malformations of lung
1079,O89,4.638338396034669e-06,Complications of anesthesia during the puerperium
1080,Y73,4.603100023814477e-06,Gastroenterology and urology devices associated with adverse incidents
1081,A48,4.580214863381116e-06,"Other bacterial diseases, not elsewhere classified"
1082,Q64,4.5721330934611615e-06,Other congenital malformations of urinary system
1083,A15,4.5721271817456e-06,Respiratory tuberculosis
1084,I76,4.503836862568278e-06,Septic arterial embolism
1085,W53,4.477763468457852e-06,Contact with rodent
1086,T37,4.42032296632533e-06,"Poisoning by, adverse effect of and underdosing of other systemic anti- infectives and antiparasitics"
1087,Z29,4.337997324910248e-06,Encounter for other prophylactic measures
1088,E26,4.273694230505498e-06,Hyperaldosteronism
1089,B49,4.2714377741504e-06,Unspecified mycosis
1090,P91,4.257165528542828e-06,Other disturbances of cerebral status of newborn
1091,B15,4.239247573423199e-06,Acute hepatitis A
1092,K05,4.219284164719284e-06,Gingivitis and periodontal diseases
1093,O67,4.207485289953183e-06,"Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified"
1094,N11,4.2052338358189445e-06,Chronic tubulo-interstitial nephritis
1095,B48,4.145863840676611e-06,"Other mycoses, not elsewhere classified"
1096,E41,4.144659669691464e-06,Nutritional marasmus
1097,L23,4.137156338401837e-06,Allergic contact dermatitis
1098,Q98,4.004206402896671e-06,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
1099,E73,3.957614808314247e-06,Lactose intolerance
1100,W60,3.88385842597927e-06,Contact with nonvenomous plant thorns and spines and sharp leaves
1101,P05,3.840280896838522e-06,Disorders of newborn related to slow fetal growth and fetal malnutrition
1102,E74,3.8291864257189445e-06,Other disorders of carbohydrate metabolism
1103,A81,3.761866992135765e-06,Atypical virus infections of central nervous system
1104,T20,3.7193894968368113e-06,"Burn and corrosion of head, face, and neck"
1105,Z14,3.693677399496664e-06,Genetic carrier
1106,D31,3.647092626124504e-06,Benign neoplasm of eye and adnexa
1107,C00,3.61717047780985e-06,Malignant neoplasm of lip
1108,J12,3.5244706850789957e-06,"Viral pneumonia, not elsewhere classified"
1109,F50,3.517895493132528e-06,Eating disorders
1110,X08,3.503524112602463e-06,"Exposure to other specified smoke, fire and flames"
1111,O11,3.502536173982662e-06,Pre-existing hypertension with pre-eclampsia
1112,C95,3.499447984722792e-06,Leukemia of unspecified cell type
1113,Z56,3.4938841508846963e-06,Problems related to employment and unemployment
1114,J16,3.493210670058033e-06,"Pneumonia due to other infectious organisms, not elsewhere classified"
1115,L50,3.492225005174987e-06,Urticaria
1116,Q52,3.4879478789662244e-06,Other congenital malformations of female genitalia
1117,L85,3.4217764550703578e-06,Other epidermal thickening
1118,G11,3.3918381632247474e-06,Hereditary ataxia
1119,N71,3.389790663277381e-06,"Inflammatory disease of uterus, except cervix"
1120,M33,3.355107764946297e-06,Dermatopolymyositis
1121,C72,3.32354761667375e-06,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
1122,I00,3.317572463856777e-06,Rheumatic fever without heart involvement
1123,D3A,3.317276650705025e-06,Benign neuroendocrine tumors
1124,B39,3.2500677207281115e-06,Histoplasmosis
1125,D45,3.2319865113095148e-06,Polycythemia vera
1126,O44,3.228196192139876e-06,Placenta previa
1127,D01,3.190824827470351e-06,Carcinoma in situ of other and unspecified digestive organs
1128,D36,3.180382464051945e-06,Benign neoplasm of other and unspecified sites
1129,Q26,3.1622105325368466e-06,Congenital malformations of great veins
1130,O41,3.150022394038388e-06,Other disorders of amniotic fluid and membranes
1131,F68,3.1447909805137897e-06,Other disorders of adult personality and behavior
1132,C06,3.0505093491228763e-06,Malignant neoplasm of other and unspecified parts of mouth
1133,D44,3.036746193174622e-06,Neoplasm of uncertain behavior of endocrine glands
1134,T76,2.9737070690316614e-06,"Adult and child abuse, neglect and other maltreatment, suspected"
1135,L83,2.970695504700416e-06,Acanthosis nigricans
1136,H01,2.925979288193048e-06,Other inflammation of eyelid
1137,Q56,2.925405169662554e-06,Indeterminate sex and pseudohermaphroditism
1138,O33,2.872232926165452e-06,Maternal care for disproportion
1139,A53,2.8155957352282712e-06,Other and unspecified syphilis
1140,L87,2.781090415737708e-06,Transepidermal elimination disorders
1141,D84,2.7375176614441443e-06,Other immunodeficiencies
1142,B30,2.72766101261368e-06,Viral conjunctivitis
1143,J13,2.722560338952462e-06,Pneumonia due to Streptococcus pneumoniae
1144,C02,2.6876402898778906e-06,Malignant neoplasm of other and unspecified parts of tongue
1145,W36,2.680245643205126e-06,Explosion and rupture of gas cylinder
1146,S35,2.664586645551026e-06,"Injury of blood vessels at abdomen, lower back and pelvis level"
1147,E08,2.660202426341129e-06,Diabetes mellitus due to underlying condition
1148,J85,2.6234538381686434e-06,Abscess of lung and mediastinum
1149,W13,2.605842155389837e-06,"Fall from, out of or through building or structure"
1150,S94,2.531707195885246e-06,Injury of nerves at ankle and foot level
1151,G55,2.527758397263824e-06,Nerve root and plexus compressions in diseases classified elsewhere
1152,F89,2.5153585738735278e-06,Unspecified disorder of psychological development
1153,R15,2.47064235736616e-06,Fecal incontinence
1154,T39,2.4567432319599902e-06,"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics"
1155,F23,2.456711399645428e-06,Brief psychotic disorder
1156,Q04,2.452388798701577e-06,Other congenital malformations of brain
1157,Z05,2.378439603489824e-06,Encounter for observation and evaluation of newborn for   suspected diseases and conditions ruled out
1158,P01,2.375241365371039e-06,Newborn affected by maternal complications of pregnancy
1159,K68,2.3747661543893628e-06,Disorders of retroperitoneum
1160,Q45,2.3691375190537656e-06,Other congenital malformations of digestive system
1161,C11,2.319908617209876e-06,Malignant neoplasm of nasopharynx
1162,T68,2.31695594266057e-06,Hypothermia
1163,S65,2.265118155264645e-06,Injury of blood vessels at wrist and hand level
1164,E15,2.2632843865721952e-06,Nondiabetic hypoglycaemic coma
1165,S28,2.2486524358100723e-06,"Crushing injury of thorax, and traumatic amputation of part of thorax"
1166,Q51,2.2387318949768087e-06,Congenital malformations of uterus and cervix
1167,O12,2.2265871848503598e-06,Gestational [pregnancy-induced] edema and proteinuria without hypertension
1168,I09,2.145406369891134e-06,Other rheumatic heart diseases
1169,G10,2.122978685292765e-06,Huntington's disease
1170,E51,2.1172479591768933e-06,Thiamine deficiency
1171,P74,2.106135752910632e-06,Other transitory neonatal electrolyte and metabolic disturbances
1172,W07,2.1028165519965114e-06,Fall from chair
1173,L93,2.091214582833345e-06,Lupus erythematosus
1174,Q93,2.0796960598090664e-06,"Monosomies and deletions from the autosomes, not elsewhere classified"
1175,O61,2.0700651930383174e-06,Failed induction of labor
1176,N05,2.046449026238406e-06,Unspecified nephritic syndrome
1177,Q63,2.010777961913845e-06,Other congenital malformations of kidney
1178,F63,2.0076718101336155e-06,Impulse disorders
1179,H34,1.972132395167137e-06,Retinal vascular occlusions
1180,Y35,1.970940502360463e-06,Legal intervention
1181,T74,1.9651104139484232e-06,"Adult and child abuse, neglect and other maltreatment, confirmed"
1182,V03,1.964497869266779e-06,"Pedestrian injured in collision with car, pick-up truck or van"
1183,W90,1.9545141185517423e-06,Exposure to other nonionizing radiation
1184,K06,1.942905100804637e-06,Other disorders of gingiva and edentulous alveolar ridge
1185,X99,1.9315409645059844e-06,Assault by sharp object
1186,J14,1.911422032208065e-06,Pneumonia due to Hemophilus influenzae
1187,G09,1.9081505797657883e-06,Sequelae of inflammatory diseases of central nervous system
1188,P00,1.9065774949922345e-06,Newborn affected by maternal conditions that may be unrelated to present pregnancy
1189,D04,1.900235588436772e-06,Carcinoma in situ of skin
1190,A46,1.8473084537617977e-06,Erysipelas
1191,B45,1.8409667745800109e-06,Cryptococcosis
1192,C68,1.8398590100332517e-06,Malignant neoplasm of other and unspecified urinary organs
1193,T47,1.8349321635469096e-06,"Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system"
1194,Q06,1.8153548353438964e-06,Other congenital malformations of spinal cord
1195,M61,1.8108194126398305e-06,Calcification and ossification of muscle
1196,C01,1.809216996662144e-06,Malignant neoplasm of base of tongue
1197,E63,1.8068445797325692e-06,Other nutritional deficiencies
1198,I15,1.761734893079847e-06,Secondary hypertension
1199,K36,1.7558814988660745e-06,Other appendicitis
1200,C14,1.753259425640863e-06,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
1201,R70,1.7231296851605291e-06,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
1202,V27,1.7106132190747303e-06,Motorcycle rider injured in collision with fixed or stationary object
1203,J80,1.706721491245844e-06,Adult respiratory distress syndrome
1204,D29,1.7020745417539729e-06,Benign neoplasm of male genital organs
1205,J92,1.6975411654129855e-06,Pleural plaque
1206,T49,1.680819877947215e-06,"Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs"
1207,C13,1.627702090445382e-06,Malignant neoplasm of hypopharynx
1208,X31,1.6116317738124053e-06,Exposure to excessive natural cold
1209,L55,1.571317170601105e-06,Sunburn
1210,C7B,1.5644660606994876e-06,Secondary neuroendocrine tumors
1211,H05,1.559153247399081e-06,Disorders of orbit
1212,T56,1.5400611346194637e-06,Toxic effect of metals
1213,N96,1.5324885680456646e-06,Habitual aborter
1214,P39,1.5065700154082151e-06,Other infections specific to the perinatal period
1215,L59,1.434313503523299e-06,Other disorders of skin and subcutaneous tissue related to radiation
1216,P52,1.4014956377650378e-06,Intracranial nontraumatic hemorrhage of newborn
1217,B07,1.393771867697069e-06,Viral warts
1218,K71,1.3783502481601315e-06,Toxic liver disease
1219,X17,1.37160861868324e-06,"Contact with hot engines, machinery and tools"
1220,T30,1.3434969332593028e-06,"Burn and corrosion, body region unspecified"
1221,L57,1.3348095535548057e-06,Skin changes due to chronic exposure to nonionizing radiation
1222,D09,1.3328520935829149e-06,Carcinoma in situ of other and unspecified sites
1223,G26,1.3236922313808464e-06,Extrapyramidal and movement disorders in diseases classified elsewhere
1224,T48,1.3151465054761502e-06,"Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system"
1225,F04,1.29399325032864e-06,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
1226,X11,1.290981799684232e-06,Contact with hot tap-water
1227,M88,1.2800048807548592e-06,Osteitis deformans [Paget's disease of bone]
1228,D81,1.2702953426924068e-06,Combined immunodeficiencies
1229,V17,1.25097767522675e-06,Pedal cycle rider injured in collision with fixed or stationary object
1230,Y81,1.2466460930227186e-06,General- and plastic-surgery devices associated with adverse incidents
1231,L43,1.2262037216714816e-06,Lichen planus
1232,F16,1.2010326599920518e-06,Hallucinogen related disorders
1233,B36,1.192959302898089e-06,Other superficial mycoses
1234,T28,1.1729691777873086e-06,Burn and corrosion of other internal organs
1235,F53,1.1713568710547406e-06,Puerperal psychosis
1236,I28,1.1512346418385278e-06,Other diseases of pulmonary vessels
1237,H59,1.1301027598165092e-06,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
1238,S26,1.1272544497842318e-06,Injury of heart
1239,J67,1.1192194051545812e-06,Hypersensitivity pneumonitis due to organic dust
1240,H70,1.1124373031634605e-06,Mastoiditis and related conditions
1241,Q96,1.107495677388215e-06,Turner's syndrome
1242,N53,1.1010223488483462e-06,Other male sexual dysfunction
1243,P61,1.1005507758454769e-06,Other perinatal hematological disorders
1244,B33,1.0775648888738942e-06,"Other viral diseases, not elsewhere classified"
1245,D58,1.0444642839502194e-06,Other hereditary hemolytic anemias
1246,S98,1.0373709073974169e-06,Traumatic amputation of ankle and foot
1247,I01,1.0321899708287674e-06,Rheumatic fever with heart involvement
1248,A36,1.015122279568459e-06,Diphtheria
1249,Q39,9.881100595521275e-07,Congenital malformations of esophagus
1250,N00,9.7783743058244e-07,Acute nephritic syndrome
1251,C62,9.63248453444976e-07,Malignant neoplasm of testis
1252,H83,9.529374551675572e-07,Other diseases of inner ear
1253,O66,9.516142540633156e-07,Other obstructed labor
1254,D71,9.48245713061624e-07,Functional disorders of polymorphonuclear neutrophils
1255,C58,9.370314728585072e-07,Malignant neoplasm of placenta
1256,L68,9.35814171043603e-07,Hypertrichosis
1257,W25,9.261148079531268e-07,Contact with sharp glass
1258,N03,9.224785344486008e-07,Chronic nephritic syndrome
1259,J62,9.181562745652628e-07,Pneumoconiosis due to dust containing silica
1260,S21,8.961657727013517e-07,Open wound of thorax
1261,S84,8.913710871638614e-07,Injury of nerves at lower leg level
1262,T67,8.906497441785177e-07,Effects of heat and light
1263,P71,8.731758498470299e-07,Transitory neonatal disorders of calcium and magnesium metabolism
1264,G37,8.682665679771162e-07,Other demyelinating diseases of central nervous system
1265,P84,8.616759714641375e-07,Other problems with newborn
1266,A18,8.433250968664652e-07,Tuberculosis of other organs
1267,L56,8.409918450524856e-07,Other acute skin changes due to ultraviolet radiation
1268,D67,8.30669023343944e-07,Hereditary factor IX deficiency
1269,M30,7.880371981627832e-07,Polyarteritis nodosa and related conditions
1270,P81,7.744628760519845e-07,Other disturbances of temperature regulation of newborn
1271,W08,7.685414402658353e-07,Fall from other furniture
1272,O04,7.635107976966538e-07,Complications following (induced) termination of pregnancy
1273,B16,7.547926088591339e-07,Acute hepatitis B
1274,W40,7.492506597372994e-07,Explosion of other materials
1275,R81,7.263250267897092e-07,Glycosuria
1276,O45,7.196388764896255e-07,Premature separation of placenta [abruptio placentae]
1277,Q44,7.157887580433453e-07,"Congenital malformations of gallbladder, bile ducts and liver"
1278,P36,6.922329021108453e-07,Bacterial sepsis of newborn
1279,W33,6.851208240732376e-07,"Accidental rifle, shotgun and larger firearm discharge and malfunction"
1280,L66,6.839974844297103e-07,Cicatricial alopecia [scarring hair loss]
1281,Z57,6.780779244763835e-07,Occupational exposure to risk factors
1282,B25,6.76023944379267e-07,Cytomegaloviral disease
1283,J09,6.740928029103088e-07,Influenza due to identified Avian influenza virus
1284,O65,6.667493721579376e-07,Obstructed labor due to maternal pelvic abnormality
1285,D41,6.491586646006908e-07,Neoplasm of uncertain behavior of urinary organs
1286,V53,6.445071676353109e-07,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
1287,L13,6.376017154252622e-07,Other bullous disorders
1288,P37,6.361135547194863e-07,Other congenital infectious and parasitic diseases
1289,G08,6.293739147622546e-07,Intracranial and intraspinal phlebitis and thrombophlebitis
1290,E20,6.168815502860525e-07,Hypoparathyroidism
1291,L80,6.008921218381147e-07,Vitiligo
1292,M02,5.893568868486909e-07,Postinfective and reactive arthropathies
1293,W14,5.797020889986015e-07,Fall from tree
1294,P29,5.755551342190302e-07,Cardiovascular disorders originating in the perinatal period
1295,P19,5.753700520472194e-07,Metabolic acidemia in newborn
1296,T54,5.678325010194385e-07,Toxic effect of corrosive substances
1297,L76,5.549681532102113e-07,Intraoperative and postprocedural complications of skin and subcutaneous tissue
1298,P80,5.506554430212418e-07,Hypothermia of newborn
1299,W49,5.501406121766195e-07,Exposure to other inanimate mechanical forces
1300,X37,5.482789333655091e-07,Cataclysmic storm
1301,O08,5.472616066981573e-07,Complications following ectopic and molar pregnancy
1302,X74,5.356345695872733e-07,Intentional self-harm by other and unspecified firearm and gun discharge
1303,S04,5.290021931614319e-07,Injury of cranial nerve
1304,V23,5.225008408160647e-07,"Motorcycle rider injured in collision with car, pick-up truck or van"
1305,V83,5.127147915118258e-07,Occupant of special vehicle mainly used on industrial premises injured in transport accident
1306,E31,5.00729925079213e-07,Polyglandular dysfunction
1307,Y69,4.895035772278788e-07,Unspecified misadventure during surgical and medical care
1308,Q80,4.482300823838159e-07,Congenital ichthyosis
1309,R88,4.437875134044589e-07,Abnormal findings in other body fluids and substances
1310,G00,4.4252820430301654e-07,"Bacterial meningitis, not elsewhere classified"
1311,B87,4.375742719275877e-07,Myiasis
1312,I41,4.251170935276605e-07,Myocarditis in diseases classified elsewhere
1313,H94,4.2400859001645596e-07,Other disorders of ear in diseases classified elsewhere
1314,L74,4.222853249302716e-07,Eccrine sweat disorders
