ICD10_3Digits,n_encounters_with_dx,score_abs,score_sq,DIAGNOSIS_DESCRIPTION
J81,66229,1450.527909,692.00352,Pulmonary edema
K83,65184,1450.22706,748.742173,Other diseases of biliary tract
M65,81020,1446.038077,532.367273,Synovitis and tenosynovitis
O76,111829,1444.32516,372.111962,Abnormality in fetal heart rate and rhythm complicating labor and delivery
C25,54722,1443.271493,878.060833,Malignant neoplasm of pancreas
W01,91259,1442.825281,499.242025,"Fall on same level from slipping, tripping and stumbling"
S69,90640,1436.559272,498.634561,"Other and unspecified injuries of wrist, hand and finger(s)"
J34,96698,1422.30676,292.449429,Other and unspecified disorders of nose and nasal sinuses
N25,70010,1419.960715,673.426555,Disorders resulting from impaired renal tubular function
E89,54980,1418.553625,886.218447,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
I85,47358,1409.787868,920.851875,Esophageal varices
E44,57878,1403.730423,708.515909,Protein-calorie malnutrition of moderate and mild degree
R16,54170,1398.376273,747.803756,"Hepatomegaly and splenomegaly, not elsewhere classified"
I07,77819,1389.427193,562.318804,Rheumatic tricuspid valve diseases
E16,51237,1389.398653,811.7772,Other disorders of pancreatic internal secretion
E05,61872,1386.069331,703.651528,Thyrotoxicosis [hyperthyroidism]
C91,56948,1373.975008,610.862035,Lymphoid leukemia
K51,54325,1369.937081,822.401251,Ulcerative colitis
K25,63081,1353.817848,662.418703,Gastric ulcer
N76,68524,1347.956916,611.928888,Other inflammation of vagina and vulva
O98,33371,1344.203076,961.404274,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
S46,81927,1339.731264,455.995536,"Injury of muscle, fascia and tendon at shoulder and upper arm level"
H91,86862,1337.342832,445.19454,Other and unspecified hearing loss
D12,108376,1328.108098,248.359935,"Benign neoplasm of colon, rectum, anus and anal canal"
R32,71442,1327.980622,543.4895,Unspecified urinary incontinence
R57,63846,1327.338991,605.145732,"Shock, not elsewhere classified"
I33,13172,1317.111018,1118.660515,Acute and subacute endocarditis
L30,64324,1315.16069,600.60206,Other and unspecified dermatitis
C22,46485,1314.189035,859.24727,Malignant neoplasm of liver and intrahepatic bile ducts
V89,66974,1301.929592,564.929217,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified"
N63,79903,1298.74151,416.19072,Unspecified lump in breast
M43,63683,1286.531972,616.210035,Other deforming dorsopathies
