rank,feature,mean_abs_shap
86,F02,0.004488916136324406
87,I21,0.004474333021789789
88,K86,0.0044656069949269295
89,T40,0.00442213099449873
90,A02,0.004414594266563654
91,B20,0.004408635664731264
92,R41,0.0042660534381866455
93,R00,0.004261395428329706
94,F14,0.004232238512486219
95,Z02,0.004066930618137121
96,S62,0.004016439896076918
97,Y83,0.00397714925929904
98,S72,0.003944287542253733
99,Z88,0.003913397900760174
100,N47,0.003909493796527386
101,F34,0.00372448586858809
102,Z39,0.0037162047810852528
103,S82,0.0037061935290694237
104,Y93,0.0036880257539451122
105,K31,0.003656757762655616
106,Z72,0.003620837116613984
107,Z34,0.0035996504593640566
108,Z09,0.0035662318114191294
109,Z45,0.0035318012814968824
110,N39,0.0034996478352695704
111,K44,0.0033878509420901537
112,L97,0.003386900993064046
113,Z47,0.003383802017197013
114,I46,0.0033834639471024275
115,H66,0.003373983083292842
116,K81,0.0033244395162910223
117,D12,0.003320954041555524
118,K50,0.0033181896433234215
119,R60,0.003317845519632101
120,I34,0.0032876499462872744
121,J02,0.003261073725298047
122,J32,0.0032296699937433004
123,J34,0.003191610099747777
124,I35,0.0031915835570544004
125,E04,0.0031614669132977724
126,R62,0.003127799369394779
127,C61,0.0031168360728770494
128,K42,0.0030973111279308796
129,H90,0.0030810628086328506
130,I22,0.0030745810363441706
131,G47,0.0030709239654242992
132,C18,0.0030455312225967646
133,M10,0.0030387297738343477
134,G43,0.003025555517524481
135,F43,0.003019969444721937
136,N17,0.003004021942615509
137,H40,0.0029760266188532114
138,M75,0.0029593545477837324
139,L98,0.002936652395874262
140,F33,0.002930219052359462
141,I71,0.0028960818890482187
142,N99,0.0028710009064525366
143,C34,0.0028355855029076338
144,J91,0.0028186088893562555
145,S43,0.0028116093017160892
146,O48,0.0027986548375338316
147,R42,0.0027688471600413322
148,R56,0.002753292443230748
149,M06,0.0027520526200532913
150,Z89,0.0027430972550064325
151,C78,0.0027430460322648287
152,G30,0.0027334780897945166
153,M65,0.00273093837313354
154,I47,0.002706852275878191
155,J30,0.002672808477655053
156,Z94,0.0026371332351118326
157,R13,0.002596849575638771
158,M23,0.0025925335939973593
159,E10,0.002563134301453829
160,D17,0.0025615026243031025
161,N93,0.002540040761232376
162,F84,0.002538299188017845
163,C54,0.002492886036634445
164,G91,0.0024735569022595882
165,V85,0.002396955154836178
166,N60,0.002394772134721279
167,R52,0.002389520173892379
168,D05,0.002386659849435091
169,I42,0.0023586100433021784
170,I20,0.002342517953366041
171,Z99,0.002319757593795657
172,J96,0.0022801412269473076
173,M17,0.0022553489543497562
174,K56,0.002229199046269059
175,D69,0.002224986208602786
176,F15,0.002204279415309429
177,G82,0.0021321321837604046
178,A41,0.0021254506427794695
179,S59,0.0020985091105103493
180,X58,0.0020878540817648172
181,D24,0.0020727096125483513
182,Z23,0.0020682828035205603
183,T50,0.0020489708986133337
184,M51,0.002048872411251068
185,D72,0.0020476023200899363
186,M67,0.0020091854967176914
187,O34,0.0020031726453453302
188,E87,0.0019830833189189434
189,N18,0.0019514826126396656
190,R09,0.0019312582444399595
191,O02,0.001915384316816926
192,G40,0.0018974044360220432
193,M20,0.0018971872050315142
194,H69,0.0018935604020953178
195,M19,0.0018730077426880598
196,F06,0.0018523395992815495
197,H91,0.0018380763940513134
198,C44,0.0017837581690400839
199,Z90,0.0017803325317800045
200,N85,0.0017627788474783301
201,N81,0.0017462538089603186
202,G60,0.0017443111864849925
203,I63,0.0017323339125141501
204,Z33,0.0017161640571430326
205,I50,0.0016992393648251891
206,R26,0.001683827256783843
207,N28,0.001664013834670186
208,H50,0.0016625249991193414
209,Z83,0.0015955994604155421
210,I08,0.0015948426444083452
211,J03,0.001587931183166802
212,W09,0.0015869559720158577
213,M32,0.001571010914631188
214,R59,0.0015654959715902805
215,K29,0.0015632531139999628
216,I11,0.0015316170174628496
217,Z93,0.001525173312984407
218,F79,0.0015193086583167315
219,I61,0.0015064741019159555
220,J95,0.001474967342801392
221,N32,0.0014670768287032843
222,S01,0.001464016386307776
223,J90,0.0014628417557105422
224,C71,0.0014503691345453262
225,S06,0.0014477521181106567
226,D64,0.0014414932811632752
227,S32,0.0014392344746738672
228,V49,0.001432957244105637
229,N95,0.0014182546874508262
230,O69,0.0014134864322841167
231,M96,0.001411900040693581
232,Z78,0.0013993661850690842
233,Z98,0.0013866301160305738
234,O90,0.0013607688015326858
235,H33,0.0013428563252091408
236,O14,0.0013391703832894564
237,R92,0.0013132155872881413
238,S53,0.0012911439407616854
239,J40,0.001290361862629652
240,G93,0.0012680774088948965
241,I67,0.0012523930054157972
242,W21,0.001247069681994617
243,C67,0.0012427412439137697
244,Z77,0.001240359153598547
245,R73,0.0012358492240309715
246,N94,0.0012347546871751547
247,H35,0.0012303799157962203
248,M47,0.0012291877064853907
249,R30,0.0012280390365049243
250,B96,0.0012126886285841465
251,R55,0.0012122937478125095
252,R20,0.0012115486897528172
253,E21,0.0012049940414726734
254,C22,0.0011797212064266205
255,C73,0.001178745529614389
256,D49,0.001174666453152895
257,O24,0.0011718414025381207
258,C91,0.0011691036634147167
259,A05,0.0011655151611194015
260,Q54,0.0011637163115665317
261,L72,0.0011589862406253815
262,K74,0.0011585289612412453
263,M16,0.0011545373126864433
264,Z11,0.0011484269052743912
265,K82,0.0011416043853387237
266,E29,0.0011275570141151547
267,N64,0.0011208464857190847
268,Z87,0.001117641106247902
269,C77,0.0011156330583617091
270,F25,0.0011093133362010121
271,Z21,0.0011077640810981393
272,M43,0.001096307416446507
273,O62,0.00108130625449121
274,R97,0.0010798507137224078
275,M86,0.0010596467182040215
276,G56,0.0010588219156488776
277,G80,0.0010495474562048912
278,I95,0.0010297101689502597
279,Q66,0.0010263803415000439
280,D32,0.0010016246233135462
281,B34,0.0009948872029781342
282,R22,0.0009948541410267353
283,T82,0.0009928366634994745
284,N87,0.0009860688587650657
285,L91,0.0009855562821030617
286,O03,0.0009770370088517666
287,K65,0.0009727434371598065
288,D27,0.0009427184122614563
289,D22,0.0009351412882097065
290,S63,0.0009349548490718007
291,F39,0.0009330990724265575
292,O35,0.0009300234960392118
293,R31,0.000914570817258209
294,M24,0.0008970629423856735
295,K61,0.0008949702023528516
296,S27,0.000894692144356668
297,O00,0.0008766355458647013
298,M21,0.0008628371288068593
299,G97,0.0008483038982376456
300,K37,0.0008443769183941185
301,V00,0.0008436830248683691
302,O86,0.0008290480473078787
303,F80,0.0008262344636023045
304,K76,0.0008230112143792212
305,M22,0.0008195490809157491
306,F13,0.000816435320302844
307,Q21,0.0008058646344579756
308,R51,0.0008039232925511897
309,G59,0.0008033312624320388
310,S92,0.0007997461361810565
311,R33,0.0007939522038213909
312,J43,0.0007931104046292603
313,Z00,0.0007911933353170753
314,C49,0.0007886149687692523
315,I51,0.000785343290772289
316,I45,0.000785058131441474
317,N35,0.000783537223469466
318,K04,0.0007826673099771142
319,L05,0.000769939215388149
320,R49,0.0007695000385865569
321,O76,0.0007626590668223798
322,J81,0.0007466624956578016
323,J98,0.0007421185728162527
324,I31,0.0007392808329313993
325,K01,0.0007383223273791373
326,Z59,0.0007342840544879436
327,D16,0.0007329375948756933
328,K85,0.0007319530704990029
329,O26,0.0007309648208320141
330,Q53,0.0007281457656063139
331,N62,0.0007252807263284922
332,J10,0.0007187575101852417
333,N23,0.0007180544780567288
334,O42,0.0007149449083954096
335,K52,0.0007141880923882127
336,J93,0.0007100072107277811
337,K60,0.0007095877081155777
338,E11,0.0007044208468869328
339,H02,0.0007018879405222833
340,Y04,0.0006998127209953964
341,D23,0.0006997843156568706
342,L89,0.0006964242202229798
343,G21,0.0006950531387701631
344,I13,0.0006944263004697859
345,T42,0.0006925780326128006
346,K66,0.000692095491103828
347,I62,0.0006891189841553569
348,X50,0.0006888561765663326
349,J18,0.0006789250182919204
350,D03,0.0006777724483981729
351,Z52,0.0006774630746804178
352,O98,0.0006734913913533092
353,Q55,0.0006712459144182503
354,N63,0.0006696474156342447
355,L02,0.0006630007992498577
356,D06,0.000662093807477504
357,R91,0.000654985720757395
358,N43,0.0006330753094516695
359,K22,0.0006259630899876356
360,M15,0.0006130894762463868
361,N10,0.0006080312887206674
362,F01,0.0006068075890652835
363,R19,0.0005984458257444203
364,R40,0.0005880094249732792
365,R27,0.0005826230626553297
366,E07,0.0005763826775364578
367,G81,0.0005706887459382415
368,Z97,0.0005670082755386829
369,C92,0.0005648155929520726
370,C64,0.0005588611820712686
371,S02,0.0005569574423134327
372,I69,0.0005528796464204788
373,M81,0.0005525884917005897
374,B08,0.000541830959264189
375,K83,0.0005406390409916639
376,N97,0.0005401859525591135
377,I88,0.0005363569362089038
378,R93,0.0005355555331334472
379,R01,0.0005274862051010132
380,F12,0.0005219152080826461
381,G62,0.0005203137407079339
382,R21,0.0005202806205488741
383,S89,0.0005084549193270504
384,N73,0.0005076528759673238
385,O13,0.0005066546145826578
386,J06,0.0005061298725195229
387,S70,0.0005059703253209591
388,C80,0.0005051816115155816
389,J11,0.0005019887466914952
390,F20,0.0004998629447072744
391,V89,0.0004986974527128041
392,H81,0.0004950225702486932
393,V43,0.000488237856188789
394,R47,0.00048156542470678687
395,F29,0.00048134656390175223
396,G31,0.00047169331810437143
397,V86,0.00046275166096165776
398,M94,0.0004583572444971651
399,O36,0.0004555408377200365
400,I77,0.0004535139014478773
401,K75,0.00045265446533448994
402,T81,0.00044940924271941185
403,H72,0.0004469721461646259
404,C79,0.0004376400902401656
405,K77,0.00043456870480440557
406,G90,0.00043440188164822757
407,N88,0.0004319417930673808
408,R69,0.00043193716555833817
409,T23,0.0004312611708883196
410,J38,0.0004306357877794653
411,K43,0.00042672676499933004
412,T45,0.00042157474672421813
413,C43,0.0004204616998322308
414,I87,0.00041697293636389077
415,E28,0.0004158219671808183
416,Q67,0.00041380219045095146
417,I97,0.0004074264143127948
418,F69,0.0004069296701345593
419,O72,0.00040400982834398746
420,G35,0.00039568892680108547
421,S33,0.0003947436925955117
422,J36,0.0003946023352909833
423,J84,0.00039395270869135857
424,J33,0.0003937295114155859
425,Q89,0.000392474903492257
426,M66,0.00039092954830266535
427,S36,0.00039067634497769177
428,F60,0.0003897515416610986
429,N90,0.0003802730643656105
430,J05,0.00037967078969813883
431,C83,0.00037940804031677544
432,Z41,0.0003783893771469593
433,I33,0.0003761303087230772
434,L90,0.00037609165883623064
435,Q25,0.00037510463153012097
436,N21,0.0003750535543076694
437,M99,0.0003747969167307019
438,N29,0.0003721258253790438
439,V87,0.00036947542685084045
440,K59,0.0003692395403049886
441,S39,0.0003646728291641921
442,C53,0.0003619890776462853
443,T07,0.0003610219864640385
444,R17,0.00036008821916766465
445,K62,0.0003595779126044363
446,T63,0.0003571038832888007
447,S68,0.000352431001374498
448,B17,0.00035235745599493384
449,D34,0.000350810558302328
450,R32,0.00034075076109729707
451,H92,0.0003392469952814281
452,V80,0.0003374360967427492
453,R80,0.00033334779436700046
454,D21,0.0003319605311844498
455,I85,0.00033065423485822976
456,Q27,0.00032794216531328857
457,O47,0.00032297676079906523
458,Z17,0.0003222863015253097
459,M72,0.0003201517683919519
460,K00,0.0003156244638375938
461,T18,0.0003148228279314935
462,C25,0.00031363681773655117
463,K87,0.00031289810431189835
464,I73,0.00031275732908397913
465,S61,0.000310232222545892
466,R63,0.00030936836265027523
467,R76,0.000307216978399083
468,N25,0.0003069913655053824
469,R54,0.00030284724198281765
470,V29,0.00030109574436210096
471,W31,0.00030076151597313583
472,R57,0.0002984885941259563
473,X95,0.00029763480415567756
474,I60,0.00029629230266436934
475,T86,0.0002960523124784231
476,E44,0.0002944373118225485
477,C86,0.0002933529030997306
478,N70,0.0002918689278885722
479,Y08,0.00028957685572095215
480,S99,0.00028944091172888875
481,T22,0.00028806953923776746
482,Q23,0.0002867698494810611
483,N16,0.00028565776301547885
484,E01,0.00028099361225031316
485,O21,0.00027847071760334074
486,S20,0.00027840526308864355
487,V19,0.00027707303524948657
488,S22,0.00027474359376356006
489,D18,0.00027286168187856674
490,M46,0.0002709912077989429
491,L84,0.00027086373302154243
492,B27,0.00026858504861593246
493,I37,0.0002675641735550016
494,W23,0.00026641489239409566
495,I16,0.00026633343077264726
496,R87,0.00026629396597854793
497,K02,0.00026434677420184016
498,W51,0.00026221195003017783
499,R53,0.00026089069433510303
500,Q18,0.0002608576905913651
501,S86,0.0002548049669712782
502,Z04,0.0002518985129427165
503,G57,0.0002511663769837469
504,B97,0.00025004972121678293
505,M85,0.0002490673214197159
506,M90,0.00024320647935383022
507,O30,0.00024217434111051261
508,T80,0.00024083955213427544
509,Q24,0.00024083149037323892
510,L71,0.00023747682280372828
511,G92,0.00023682777828071266
512,R12,0.0002360538928769529
513,M62,0.00023464293917641044
514,Q28,0.00023224318283610046
515,Z96,0.00023176701506599784
516,N89,0.00023089931346476078
517,N44,0.00022981395886745304
518,W18,0.00022935251763556153
519,A09,0.00022925234225112945
520,Z71,0.00022800032456871122
521,Q90,0.0002274467988172546
522,W19,0.00022415263811126351
523,Q38,0.00022369384532794356
524,C56,0.00022352648375090212
525,I89,0.00022091621940489858
526,K91,0.00021857369574718177
527,Q62,0.00021770100283902138
528,D48,0.00021717634808737785
529,L22,0.00021578223095275462
530,C24,0.00021270854631438851
531,N49,0.00021223523071967065
532,E05,0.00020789015979971737
533,R99,0.0002032285265158862
534,O9A,0.0001995095663005486
535,V09,0.00019948043336626142
536,C85,0.0001976152852876112
537,M93,0.00019694135698955506
538,L40,0.00019663864804897457
539,W17,0.0001948035933310166
540,M71,0.00019233376951888204
541,K26,0.00019147354760207236
542,E84,0.00018922517483588308
543,S12,0.00018550214008428156
544,E88,0.0001843253121478483
545,S16,0.00018292707682121545
546,S09,0.00018078902212437242
547,G20,0.00017807299445848912
548,P28,0.00017794060113374144
549,R44,0.00017772053251974285
550,W34,0.00017771482816897333
551,H43,0.0001753729156916961
552,E83,0.00017512586782686412
553,Z20,0.00017108373867813498
554,M77,0.00017102158744819462
555,S46,0.00016993103781715035
556,F48,0.0001697626430541277
557,C51,0.00016894938016775995
558,T85,0.00016841039177961648
559,M48,0.00016736186807975173
560,Z74,0.0001647017488721758
561,M50,0.00016360223526135087
562,R18,0.0001628001919016242
563,E89,0.00016259195399470627
564,T25,0.00016223259444814175
565,N36,0.00016053188301157206
566,Z22,0.00015922961756587029
567,E86,0.00015879786224104464
568,M95,0.00015815395454410464
569,Z64,0.00015806805458851159
570,Z31,0.00015725812409073114
571,T24,0.00015674410678911954
572,L08,0.00015511571837123483
573,V78,0.00015198416076600552
574,S00,0.0001500535145169124
575,Q75,0.00014975853264331818
576,B86,0.00014811388973612338
577,M87,0.00014792149886488914
578,Q37,0.00014644316979683936
579,N72,0.00014616384578403085
580,Q03,0.00014526571612805128
581,A04,0.00014356935571413487
582,R79,0.00014307342644315213
583,Z16,0.00014304541400633752
584,E64,0.0001428729883627966
585,S29,0.00013980208314023912
586,L25,0.00013772489910479635
587,L70,0.00013755258987657726
588,S93,0.00013715621025767177
589,N61,0.00013567648420576006
590,L94,0.0001342015020782128
591,D14,0.00013300316641107202
592,N80,0.00013151534949429333
593,W22,0.00013106597180012614
594,S88,0.0001294417306780815
595,T36,0.00012827517639379948
596,I38,0.00012592881103046238
597,H71,0.00012514690752141178
598,N12,0.0001250731584150344
599,S05,0.00012464319297578186
600,K27,0.00012391329801175743
601,T83,0.00012285943375900388
602,D63,0.00012171102571301162
603,D13,0.00012015094398520887
604,E46,0.00012011570652248338
605,Q10,0.00011998891568509862
606,D37,0.00011847735731862485
607,J31,0.00011833807366201654
608,H04,0.00011822600208688527
609,N75,0.00011717728193616495
610,K73,0.00011682912008836865
611,D35,0.00011658676521619782
612,W20,0.00011495054786792025
613,R65,0.00011384001118130982
614,D75,0.00011308085959171876
615,J47,0.00011244332563364878
616,Q35,0.0001114004262490198
617,P59,0.00011073021596530452
618,D11,0.00010939664934994653
619,I96,0.00010930920689133927
620,C90,0.00010901736095547676
621,Z32,0.00010869747347896919
622,A63,0.0001086275078705512
623,R29,0.00010814200504682958
624,W11,0.00010566140554146841
625,T66,0.00010543179814703763
626,A64,0.00010522822412895039
627,M34,0.0001051482540788129
628,B95,0.00010263608419336379
629,H61,0.00010175997158512473
630,H21,0.00010041313362307847
631,Q65,9.838425467023626e-05
632,R03,9.67830274021253e-05
633,D50,9.633843001211062e-05
634,I72,9.57496595219709e-05
635,K70,9.568429231876507e-05
636,M26,9.538429003441706e-05
637,Y09,9.53609196585603e-05
638,H47,9.243272506864741e-05
639,R25,9.186066017718986e-05
640,E22,9.074827539734542e-05
641,W01,9.057177521754056e-05
642,I74,8.894524216884747e-05
643,Z03,8.8468637841288e-05
644,W54,8.798271301202476e-05
645,G96,8.646392961964011e-05
646,L27,8.553561201551929e-05
647,D73,8.549633639631793e-05
648,I27,8.282243652502075e-05
649,N19,8.279704343294725e-05
650,Z92,8.231400715885684e-05
651,L20,8.124290616251528e-05
652,S31,8.111122588161379e-05
653,R05,8.099477417999879e-05
654,Q79,7.942973752506077e-05
655,G51,7.927647675387561e-05
656,M53,7.922147779027e-05
657,Y82,7.876554445829242e-05
658,S91,7.810237730154768e-05
659,C15,7.74497602833435e-05
660,T43,7.728646596660838e-05
661,J70,7.727876072749496e-05
662,E43,7.675815868424252e-05
663,F88,7.673700019950047e-05
664,R36,7.605643622810021e-05
665,M12,7.530803850386292e-05
666,L82,7.4956682510674e-05
667,Q61,7.44234785088338e-05
668,T87,7.434110011672601e-05
669,Z48,7.397046283585951e-05
670,B02,7.376458233920857e-05
671,D07,7.332358654821292e-05
672,F07,7.3209848778788e-05
673,E06,7.316478149732575e-05
674,C32,7.1826929342933e-05
675,E27,7.174906932050362e-05
676,W57,7.101730443537235e-05
677,S23,7.058155460981652e-05
678,F45,6.943365588085726e-05
679,M41,6.89527514623478e-05
680,F72,6.866256444482133e-05
681,D68,6.776275404263288e-05
682,B37,6.732688780175522e-05
683,V18,6.711322930641472e-05
684,K28,6.704258703393862e-05
685,S03,6.683264655293897e-05
686,E65,6.670189031865448e-05
687,W29,6.658608617726713e-05
688,R16,6.63878527120687e-05
689,X93,6.480223964899778e-05
690,K38,6.409947673091665e-05
691,J61,6.358988321153447e-05
692,K20,6.33454619674012e-05
693,B99,6.286274583544582e-05
694,S10,6.268951983656734e-05
695,N42,6.154274160508066e-05
696,M35,6.117741577327251e-05
697,O40,6.058009239495732e-05
698,H10,6.045085683581419e-05
699,Z13,5.949152182438411e-05
700,T84,5.863129990757443e-05
701,I83,5.7680721511133015e-05
702,O92,5.7565201132092625e-05
703,F70,5.7330595154780895e-05
704,F22,5.715212319046259e-05
705,J20,5.6842993217287585e-05
706,Q36,5.676711953128688e-05
707,C16,5.648542719427496e-05
708,G70,5.6368462537648156e-05
709,S79,5.618249633698724e-05
710,E79,5.594668255071156e-05
711,C07,5.58660613023676e-05
712,Z43,5.4926276789046824e-05
713,W50,5.444934868137352e-05
714,F81,5.436480569187552e-05
715,A69,5.398688881541602e-05
716,I79,5.3760250011691824e-05
717,A49,5.3630417824024335e-05
718,S80,5.259743193164468e-05
719,T78,5.256605800241232e-05
720,G25,5.1571609219536185e-05
721,V79,5.148073978489265e-05
722,F98,5.1406288548605517e-05
723,W05,5.105582022224553e-05
724,Q83,5.059234536020085e-05
725,E16,5.047350350650959e-05
726,T65,5.0173890485893935e-05
727,K94,4.98081099067349e-05
728,D51,4.913997327093966e-05
729,E55,4.852019264944829e-05
730,S50,4.827522570849396e-05
731,S90,4.7274075768655166e-05
732,W06,4.643261854653247e-05
733,G04,4.5674489228986204e-05
734,C69,4.5360386138781905e-05
735,G14,4.4986405555391684e-05
736,C45,4.4927601265953854e-05
737,J42,4.4368898670654744e-05
738,R78,4.427186286193319e-05
739,A08,4.415384682943113e-05
740,K51,4.3195639591431245e-05
741,G03,4.305181937525049e-05
742,H74,4.244458978064358e-05
743,M14,4.234707012074068e-05
744,S56,4.1902269003912807e-05
745,Q69,4.176213769824244e-05
746,A40,4.1422739741392434e-05
747,M70,4.127939973841421e-05
748,D86,4.1260584112023935e-05
749,J21,4.124992847209796e-05
750,S73,4.1090937884291634e-05
751,R68,4.108173379790969e-05
752,T34,4.0973940485855564e-05
753,R23,4.041984720970504e-05
754,G50,4.0339698898606e-05
755,K25,3.9562859456054866e-05
756,N30,3.8960075471550226e-05
757,R58,3.871350781992078e-05
758,Y84,3.832170841633342e-05
759,S96,3.79554221581202e-05
760,D89,3.7928195524727926e-05
761,S13,3.759014362003654e-05
762,I26,3.7365691241575405e-05
763,T75,3.7231871829135343e-05
764,S34,3.719625965459272e-05
765,J15,3.6845816794084385e-05
766,L88,3.6658333556260914e-05
767,A31,3.629248385550454e-05
768,H60,3.624252349254675e-05
769,K58,3.618977643782273e-05
770,R90,3.6022000131197274e-05
771,O28,3.574506627046503e-05
772,K92,3.557928357622586e-05
773,Z08,3.555767398211174e-05
774,X19,3.5444507375359535e-05
775,L04,3.530812682583928e-05
776,E53,3.5013272281503305e-05
777,V48,3.499550439300947e-05
778,H55,3.4985314414370805e-05
779,Z18,3.4282471460755914e-05
780,W62,3.4056407457683235e-05
781,N82,3.381042552064173e-05
782,N91,3.3715561585268006e-05
783,Z62,3.3667663956293836e-05
784,K46,3.3117994462372735e-05
785,R39,3.285589991719462e-05
786,Q07,3.251815360272303e-05
787,Y90,3.2367028325097635e-05
788,V76,3.218436540919356e-05
789,M31,3.214902608306147e-05
790,Z36,3.213894524378702e-05
791,Z38,3.2133761123986915e-05
792,W46,3.2002029911382124e-05
793,M89,3.155233571305871e-05
794,J69,3.119402390439063e-05
795,F05,3.092403130722232e-05
796,D70,3.050599480047822e-05
797,J01,3.0446373784798197e-05
798,S40,3.0275592507678084e-05
799,Q87,2.9523986086132936e-05
800,T21,2.9154523872421123e-05
801,V99,2.8830889277742244e-05
802,E30,2.8545939130708575e-05
803,Q32,2.8429178200894967e-05
804,O20,2.8412407118594274e-05
805,S14,2.8372885935823433e-05
806,S67,2.8178736101835966e-05
807,Q76,2.816153755702544e-05
808,C57,2.750784369709436e-05
809,C21,2.7381358449929394e-05
810,Q85,2.7216279704589397e-05
811,T32,2.7173942726221867e-05
812,B59,2.712947753025219e-05
813,M13,2.6616224204190075e-05
814,E24,2.6506546419113874e-05
815,L92,2.6113795684068464e-05
816,O23,2.5824752810876817e-05
817,L01,2.55073573498521e-05
818,M76,2.5504297809675336e-05
819,H53,2.5501281925244257e-05
820,M11,2.515432788641192e-05
821,Z63,2.50305329245748e-05
822,T14,2.480560215190053e-05
823,R35,2.478167152730748e-05
824,G95,2.4586599465692416e-05
825,N31,2.4306682462338358e-05
826,C48,2.4290409783134237e-05
827,D56,2.3950588001753204e-05
828,R74,2.3382744984701276e-05
829,L53,2.318199403816834e-05
830,N34,2.310781565029174e-05
831,E09,2.2976491891313344e-05
832,D47,2.2933432774152607e-05
833,D46,2.2372163584805094e-05
834,M1A,2.217700966866687e-05
835,V69,2.2154108592076227e-05
836,D39,2.2065738448873162e-05
837,Z15,2.1768473743577488e-05
838,H46,2.1731382730649784e-05
839,M92,2.1703777747461572e-05
840,P04,2.1592359189526178e-05
841,S19,2.1529895093408413e-05
842,M36,2.1466095859068446e-05
843,R89,2.1379388272180222e-05
844,N65,2.1103582184878178e-05
845,S30,2.0895389752695337e-05
846,F90,2.069165748252999e-05
847,S69,2.0603512894012965e-05
848,E72,2.054762444458902e-05
849,O60,2.04932384804124e-05
850,H49,2.0401108486112207e-05
851,K12,2.0259567463654093e-05
852,Z28,2.0242656319169328e-05
853,V28,2.0165363821433857e-05
854,M00,2.0134768419666216e-05
855,H52,2.0097078959224746e-05
856,J04,2.0089897589059547e-05
857,X83,1.9946264728787355e-05
858,O75,1.9771026927628554e-05
859,G45,1.9714378140633926e-05
860,G44,1.9706287275766954e-05
861,T19,1.9617709767771885e-05
862,B00,1.939879985002335e-05
863,E85,1.9347164197824895e-05
864,T31,1.9275776139693335e-05
865,T44,1.9145862097502686e-05
866,Q17,1.9084553059656173e-05
867,N41,1.8888935301220044e-05
868,K72,1.8829545297194272e-05
869,I24,1.877196154964622e-05
870,R82,1.855149821494706e-05
871,K55,1.840414734033402e-05
872,W55,1.8312130123376846e-05
873,S51,1.8172358977608383e-05
874,O82,1.790331953088753e-05
875,Q20,1.779494596121367e-05
876,I68,1.7706686776364222e-05
877,Q43,1.7340737031190656e-05
878,Y07,1.719243300613016e-05
879,S60,1.7187710909638554e-05
880,G72,1.7178819689434022e-05
881,I82,1.7111469787778333e-05
882,R71,1.708198760752566e-05
883,Z73,1.702083318377845e-05
884,W10,1.676844658504706e-05
885,C81,1.6731652067392133e-05
886,Z81,1.6670181139488705e-05
887,B35,1.6586416677455418e-05
888,K90,1.637517380004283e-05
889,E80,1.619273461983539e-05
890,G71,1.608436468814034e-05
891,C7A,1.607462218089495e-05
892,O71,1.6038235116866417e-05
893,Q74,1.598574272065889e-05
894,R14,1.5868499758653343e-05
895,G46,1.5151136722124647e-05
896,N50,1.5045815416669939e-05
897,M08,1.5042182894831058e-05
898,O32,1.4973400539020076e-05
899,A87,1.4827906852588058e-05
900,W03,1.4789570741413627e-05
901,H18,1.4587821169698145e-05
902,Y33,1.434537898603594e-05
903,F44,1.4308333447843324e-05
904,W26,1.4304894648375921e-05
905,Y95,1.4289128557720687e-05
906,N52,1.415904625901021e-05
907,H51,1.414330199622782e-05
